latitude,longitude,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,mean_sea_level_pressure,surface_pressure,total_precipitation_24hr,time,level,geopotential,specific_humidity,temperature,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,precipitation_mm_24h,event_id,region_label
16.5,268.75,1.1302694,-0.21936077,1.1513593,296.83337,101010.44,94301.33,0.02934346,2009-06-19,1000,843.4326,0.017191317,299.18326,0.9485699,-0.15193,0.16873491,0.96066,29.34346,FL-2009-000117-GTM,center
16.5,268.75,1.1302694,-0.21936077,1.1513593,296.83337,101010.44,94301.33,0.02934346,2009-06-19,850,14616.291,0.013623982,291.16794,-7.179784,4.351725,-0.21233726,8.395642,29.34346,FL-2009-000117-GTM,center
16.5,268.75,1.1302694,-0.21936077,1.1513593,296.83337,101010.44,94301.33,0.02934346,2009-06-19,500,57361.234,0.005102025,268.49664,0.87846756,0.8861275,0.002719164,1.2477689,29.34346,FL-2009-000117-GTM,center
16.5,268.75,1.1302694,-0.21936077,1.1513593,296.83337,101010.44,94301.33,0.02934346,2009-06-19,250,107490.15,0.00031900895,233.18832,5.2647724,-4.639201,-0.06815076,7.017123,29.34346,FL-2009-000117-GTM,center
16.5,269.0,1.3816937,-0.5675027,1.4936991,298.2826,100923.74,96979.14,0.033044666,2009-06-19,1000,776.79663,0.01784874,299.03513,1.0550798,-0.33923727,0.11485678,1.1082758,33.044666,FL-2009-000117-GTM,center
16.5,269.0,1.3816937,-0.5675027,1.4936991,298.2826,100923.74,96979.14,0.033044666,2009-06-19,850,14614.816,0.013205996,291.50467,-8.843703,4.1506076,-0.30081677,9.76927,33.044666,FL-2009-000117-GTM,center
16.5,269.0,1.3816937,-0.5675027,1.4936991,298.2826,100923.74,96979.14,0.033044666,2009-06-19,500,57364.26,0.0049766004,268.24896,0.65054226,1.578332,-0.052495003,1.707143,33.044666,FL-2009-000117-GTM,center
16.5,269.0,1.3816937,-0.5675027,1.4936991,298.2826,100923.74,96979.14,0.033044666,2009-06-19,250,107474.12,0.00031866005,233.10849,5.8930683,-4.6073184,0.023339272,7.48035,33.044666,FL-2009-000117-GTM,center
16.5,269.25,1.47554,-0.7189623,1.641379,299.31778,100872.47,98720.7,0.02695004,2009-06-19,1000,722.83765,0.018637149,298.57187,1.1129812,-0.560933,0.07474035,1.2463439,26.95004,FL-2009-000117-GTM,center
16.5,269.25,1.47554,-0.7189623,1.641379,299.31778,100872.47,98720.7,0.02695004,2009-06-19,850,14617.88,0.012731638,291.72913,-9.860862,3.6154685,0.08259463,10.502771,26.95004,FL-2009-000117-GTM,center
16.5,269.25,1.47554,-0.7189623,1.641379,299.31778,100872.47,98720.7,0.02695004,2009-06-19,500,57366.344,0.0049511995,268.0161,0.4844265,1.9926195,0.053499937,2.050659,26.95004,FL-2009-000117-GTM,center
16.5,269.25,1.47554,-0.7189623,1.641379,299.31778,100872.47,98720.7,0.02695004,2009-06-19,250,107458.086,0.00029262877,233.1389,6.3194103,-5.223055,0.1347692,8.19849,26.95004,FL-2009-000117-GTM,center
16.5,269.5,1.5539788,-0.9228227,1.8073328,299.98584,100844.164,99509.47,0.019688884,2009-06-19,1000,706.58496,0.019750733,298.92767,1.4232183,-0.77750707,0.031118572,1.6217482,19.688885,FL-2009-000117-GTM,center
16.5,269.5,1.5539788,-0.9228227,1.8073328,299.98584,100844.164,99509.47,0.019688884,2009-06-19,850,14638.753,0.012635229,291.7448,-10.012231,2.7074971,-0.04781151,10.371852,19.688885,FL-2009-000117-GTM,center
16.5,269.5,1.5539788,-0.9228227,1.8073328,299.98584,100844.164,99509.47,0.019688884,2009-06-19,500,57368.805,0.0048353826,267.9461,0.75742245,2.427621,0.11637163,2.543036,19.688885,FL-2009-000117-GTM,center
16.5,269.5,1.5539788,-0.9228227,1.8073328,299.98584,100844.164,99509.47,0.019688884,2009-06-19,250,107443.75,0.0002610716,233.21114,5.9289703,-5.7371645,0.1146338,8.250319,19.688885,FL-2009-000117-GTM,center
16.5,269.75,0.7324728,-0.423939,0.84631,301.2298,100830.68,98996.61,0.013247786,2009-06-19,1000,706.2599,0.020670544,301.3732,0.58186114,-0.36630905,0.014760375,0.6875643,13.2477865,FL-2009-000117-GTM,center
16.5,269.75,0.7324728,-0.423939,0.84631,301.2298,100830.68,98996.61,0.013247786,2009-06-19,850,14664.051,0.01229027,291.80878,-8.902187,1.650157,-0.7443714,9.053837,13.2477865,FL-2009-000117-GTM,center
16.5,269.75,0.7324728,-0.423939,0.84631,301.2298,100830.68,98996.61,0.013247786,2009-06-19,500,57369.37,0.004755495,267.93384,0.7342434,2.4224415,0.09259319,2.5312717,13.2477865,FL-2009-000117-GTM,center
16.5,269.75,0.7324728,-0.423939,0.84631,301.2298,100830.68,98996.61,0.013247786,2009-06-19,250,107434.19,0.00024712746,233.19339,5.3657475,-5.880637,0.06810689,7.960725,13.2477865,FL-2009-000117-GTM,center
16.5,270.0,-1.3846736,0.27808735,1.412322,302.9,100831.125,98752.19,0.0059710685,2009-06-19,1000,699.8672,0.015842373,303.6445,-1.2902834,0.17073607,0.054876864,1.3015307,5.9710684,FL-2009-000117-GTM,center
16.5,270.0,-1.3846736,0.27808735,1.412322,302.9,100831.125,98752.19,0.0059710685,2009-06-19,850,14672.559,0.011053608,292.09,-7.904523,1.25733,-0.76374435,8.003897,5.9710684,FL-2009-000117-GTM,center
16.5,270.0,-1.3846736,0.27808735,1.412322,302.9,100831.125,98752.19,0.0059710685,2009-06-19,500,57375.047,0.004921324,267.86646,0.8411236,2.2515488,-0.05894351,2.4035308,5.9710684,FL-2009-000117-GTM,center
16.5,270.0,-1.3846736,0.27808735,1.412322,302.9,100831.125,98752.19,0.0059710685,2009-06-19,250,107425.19,0.00022948066,233.11356,5.3814545,-6.044037,0.020406961,8.092616,5.9710684,FL-2009-000117-GTM,center
16.5,270.25,-2.5542517,-0.19782624,2.561901,303.08267,100858.69,97989.12,0.0031460933,2009-06-19,1000,721.9708,0.015118417,303.22043,-2.023701,-0.12412657,0.102653086,2.0275042,3.1460934,FL-2009-000117-GTM,center
16.5,270.25,-2.5542517,-0.19782624,2.561901,303.08267,100858.69,97989.12,0.0031460933,2009-06-19,850,14671.084,0.010258634,292.34827,-7.9458055,1.6195774,-0.18775964,8.109183,3.1460934,FL-2009-000117-GTM,center
16.5,270.25,-2.5542517,-0.19782624,2.561901,303.08267,100858.69,97989.12,0.0031460933,2009-06-19,500,57381.1,0.0046695536,267.86295,1.3394709,2.103096,-0.09884262,2.4934304,3.1460934,FL-2009-000117-GTM,center
16.5,270.25,-2.5542517,-0.19782624,2.561901,303.08267,100858.69,97989.12,0.0031460933,2009-06-19,250,107413.66,0.00020625172,232.99316,5.6507244,-6.56811,0.0026171207,8.664338,3.1460934,FL-2009-000117-GTM,center
16.5,270.5,-3.03609,-0.5488394,3.0852985,300.85226,100952.49,95828.305,0.0057510026,2009-06-19,1000,786.5482,0.015573332,301.94104,-2.0901804,-0.4972778,0.17496657,2.1485202,5.751003,FL-2009-000117-GTM,center
16.5,270.5,-3.03609,-0.5488394,3.0852985,300.85226,100952.49,95828.305,0.0057510026,2009-06-19,850,14665.071,0.010217636,292.32413,-9.301252,1.8947916,0.3896711,9.492288,5.751003,FL-2009-000117-GTM,center
16.5,270.5,-3.03609,-0.5488394,3.0852985,300.85226,100952.49,95828.305,0.0057510026,2009-06-19,500,57386.594,0.00463007,267.86295,0.8926325,2.149703,0.11516261,2.3276632,5.751003,FL-2009-000117-GTM,center
16.5,270.5,-3.03609,-0.5488394,3.0852985,300.85226,100952.49,95828.305,0.0057510026,2009-06-19,250,107402.695,0.00018278642,232.9805,5.8751163,-7.3930774,0.053640366,9.44323,5.751003,FL-2009-000117-GTM,center
16.25,268.75,0.9201654,-0.44834483,1.0235808,297.51535,100996.21,95269.05,0.032421526,2009-06-19,1000,816.4531,0.016719768,298.8681,1.0350646,-0.4219159,0.15237671,1.1177529,32.421524,FL-2009-000117-GTM,center
16.25,268.75,0.9201654,-0.44834483,1.0235808,297.51535,100996.21,95269.05,0.032421526,2009-06-19,850,14616.291,0.013801426,291.04364,-6.1637716,3.0462222,-0.41300654,6.875431,32.421524,FL-2009-000117-GTM,center
16.25,268.75,0.9201654,-0.44834483,1.0235808,297.51535,100996.21,95269.05,0.032421526,2009-06-19,500,57366.344,0.0050837314,268.3321,1.6910172,1.0846405,-0.07063103,2.008976,32.421524,FL-2009-000117-GTM,center
16.25,268.75,0.9201654,-0.44834483,1.0235808,297.51535,100996.21,95269.05,0.032421526,2009-06-19,250,107501.67,0.00031469853,233.25865,5.2333565,-4.4479046,-0.029052496,6.8681784,32.421524,FL-2009-000117-GTM,center
16.25,269.0,1.3592826,-0.6356954,1.5005858,298.34003,100889.22,97678.414,0.039244577,2009-06-19,1000,741.4741,0.018027546,298.65753,1.2473698,-0.52581286,0.10434085,1.3536656,39.244576,FL-2009-000117-GTM,center
16.25,269.0,1.3592826,-0.6356954,1.5005858,298.34003,100889.22,97678.414,0.039244577,2009-06-19,850,14603.8125,0.013565048,291.35742,-8.26804,3.2943854,-0.27652836,8.900194,39.244576,FL-2009-000117-GTM,center
16.25,269.0,1.3592826,-0.6356954,1.5005858,298.34003,100889.22,97678.414,0.039244577,2009-06-19,500,57357.83,0.0049702832,268.1019,1.3781023,1.9839878,-0.26367927,2.4156518,39.244576,FL-2009-000117-GTM,center
16.25,269.0,1.3592826,-0.6356954,1.5005858,298.34003,100889.22,97678.414,0.039244577,2009-06-19,250,107481.15,0.0003086662,233.1465,5.9491653,-4.549531,-0.017909288,7.489379,39.244576,FL-2009-000117-GTM,center
16.25,269.25,1.5196618,-0.86037254,1.7463142,298.90024,100838.24,98849.95,0.03160556,2009-06-19,1000,728.5803,0.018789757,298.61108,1.2466547,-0.8060422,0.025276303,1.4845377,31.60556,FL-2009-000117-GTM,center
16.25,269.25,1.5196618,-0.86037254,1.7463142,298.90024,100838.24,98849.95,0.03160556,2009-06-19,850,14610.506,0.01323258,291.5976,-9.543215,2.726315,0.12509966,9.925006,31.60556,FL-2009-000117-GTM,center
16.25,269.25,1.5196618,-0.86037254,1.7463142,298.90024,100838.24,98849.95,0.03160556,2009-06-19,500,57365.586,0.004863942,268.02313,0.6518297,2.2791681,0.09460831,2.370546,31.60556,FL-2009-000117-GTM,center
16.25,269.25,1.5196618,-0.86037254,1.7463142,298.90024,100838.24,98849.95,0.03160556,2009-06-19,250,107468.21,0.00028640512,233.16615,6.1915073,-5.1592894,0.11072397,8.059344,31.60556,FL-2009-000117-GTM,center
16.25,269.5,1.3382722,-0.8022293,1.5603026,300.0885,100847.13,99056.266,0.021419244,2009-06-19,1000,709.5105,0.019597294,299.93262,1.233073,-0.7211685,0.052410126,1.4284793,21.419245,FL-2009-000117-GTM,center
16.25,269.5,1.3382722,-0.8022293,1.5603026,300.0885,100847.13,99056.266,0.021419244,2009-06-19,850,14626.274,0.01265797,291.71344,-9.638394,2.1288414,-0.11402655,9.870694,21.419245,FL-2009-000117-GTM,center
16.25,269.5,1.3382722,-0.8022293,1.5603026,300.0885,100847.13,99056.266,0.021419244,2009-06-19,500,57376.75,0.004762207,268.0529,1.0922289,2.0081549,0.34448266,2.285968,21.419245,FL-2009-000117-GTM,center
16.25,269.5,1.3382722,-0.8022293,1.5603026,300.0885,100847.13,99056.266,0.021419244,2009-06-19,250,107457.805,0.00027512826,233.2802,5.6641884,-5.6514797,0.14708519,8.00139,21.419245,FL-2009-000117-GTM,center
16.25,269.75,0.2527356,-0.073643655,0.26324642,302.18842,100821.64,99175.57,0.011310827,2009-06-19,1000,695.3164,0.020387782,301.9817,0.2087189,-0.00047451258,0.027093887,0.20871943,11.310827,FL-2009-000117-GTM,center
16.25,269.75,0.2527356,-0.073643655,0.26324642,302.18842,100821.64,99175.57,0.011310827,2009-06-19,850,14652.819,0.011700605,291.84378,-8.604034,1.623106,-0.63189244,8.755792,11.310827,FL-2009-000117-GTM,center
16.25,269.75,0.2527356,-0.073643655,0.26324642,302.18842,100821.64,99175.57,0.011310827,2009-06-19,500,57372.777,0.004781422,267.98462,1.621481,1.4695816,0.09259319,2.1883488,11.310827,FL-2009-000117-GTM,center
16.25,269.75,0.2527356,-0.073643655,0.26324642,302.18842,100821.64,99175.57,0.011310827,2009-06-19,250,107444.31,0.00026197196,233.31187,5.2647724,-5.8188643,0.09762597,7.847102,11.310827,FL-2009-000117-GTM,center
16.25,270.0,-1.7166377,0.5644969,1.8070699,303.33667,100814.38,99230.25,0.006813159,2009-06-19,1000,694.3413,0.016167134,303.00552,-1.3438959,0.4824271,0.019044638,1.4278628,6.813159,FL-2009-000117-GTM,center
16.25,270.0,-1.7166377,0.5644969,1.8070699,303.33667,100814.38,99230.25,0.006813159,2009-06-19,850,14662.008,0.010456576,292.3048,-7.710724,1.6031117,-0.6125195,7.87561,6.813159,FL-2009-000117-GTM,center
16.25,270.0,-1.7166377,0.5644969,1.8070699,303.33667,100814.38,99230.25,0.006813159,2009-06-19,500,57376.37,0.004752073,267.96185,1.3961306,1.4212484,-0.18146253,1.992267,6.813159,FL-2009-000117-GTM,center
16.25,270.0,-1.7166377,0.5644969,1.8070699,303.33667,100814.38,99230.25,0.006813159,2009-06-19,250,107435.31,0.0002457882,233.25803,5.3657475,-5.926469,0.08042264,7.9946404,6.813159,FL-2009-000117-GTM,center
16.25,270.25,-2.5759625,0.2651666,2.5895746,302.52942,100839.87,98329.64,0.0037504323,2009-06-19,1000,709.1854,0.015914727,302.5466,-1.8907423,0.22780624,0.16886473,1.9044164,3.7504323,FL-2009-000117-GTM,center
16.25,270.25,-2.5759625,0.2651666,2.5895746,302.52942,100839.87,98329.64,0.0037504323,2009-06-19,850,14648.168,0.010118344,292.66083,-7.9607134,1.8806782,-0.18718123,8.179848,3.7504323,FL-2009-000117-GTM,center
16.25,270.25,-2.5759625,0.2651666,2.5895746,302.52942,100839.87,98329.64,0.0037504323,2009-06-19,500,57383.375,0.004612303,267.9522,1.6639757,1.7216063,-0.03879237,2.3943148,3.7504323,FL-2009-000117-GTM,center
16.25,270.25,-2.5759625,0.2651666,2.5895746,302.52942,100839.87,98329.64,0.0037504323,2009-06-19,250,107422.09,0.00022102866,233.16489,5.5923824,-6.169575,0.10798693,8.326968,3.7504323,FL-2009-000117-GTM,center
16.25,270.5,-3.2335873,-0.20428659,3.2400339,300.9149,100911.74,96708.2,0.005190298,2009-06-19,1000,772.35425,0.016175035,301.53876,-2.3925543,-0.20314685,0.16315234,2.4011633,5.190298,FL-2009-000117-GTM,center
16.25,270.5,-3.2335873,-0.20428659,3.2400339,300.9149,100911.74,96708.2,0.005190298,2009-06-19,850,14646.014,0.010006241,292.51843,-9.195752,1.9218426,0.20750713,9.394431,5.190298,FL-2009-000117-GTM,center
16.25,270.5,-3.2335873,-0.20428659,3.2400339,300.9149,100911.74,96708.2,0.005190298,2009-06-19,500,57392.65,0.0045950618,267.8227,1.607316,1.7682133,0.3070016,2.3895695,5.190298,FL-2009-000117-GTM,center
16.25,270.5,-3.2335873,-0.20428659,3.2400339,300.9149,100911.74,96708.2,0.005190298,2009-06-19,250,107411.125,0.00019747333,233.09454,5.7718964,-6.843099,0.12362623,8.9522505,5.190298,FL-2009-000117-GTM,center
16.0,268.75,0.56088793,-0.1576284,0.5826165,296.71158,101056.97,92863.0,0.0646017,2009-06-19,1000,916.8948,0.016141769,299.20068,0.72983134,-0.04510632,0.17120159,0.73122394,64.6017,FL-2009-000117-GTM,center
