latitude,longitude,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,mean_sea_level_pressure,surface_pressure,total_precipitation_24hr,time,level,geopotential,specific_humidity,temperature,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,precipitation_mm_24h,event_id,region_label
15.25,107.5,0.82602406,1.0860868,1.3645146,292.7898,101061.336,88824.195,0.007866302,2004-07-23,1000,859.6347,0.01503371,298.4697,0.5039303,0.7220888,0.09942949,0.8805441,7.8663015,FF-2004-000060-VNM,center
15.25,107.5,0.82602406,1.0860868,1.3645146,292.7898,101061.336,88824.195,0.007866302,2004-07-23,850,14492.147,0.014237347,290.31235,3.7475152,1.9864564,0.20045114,4.241448,7.8663015,FF-2004-000060-VNM,center
15.25,107.5,0.82602406,1.0860868,1.3645146,292.7898,101061.336,88824.195,0.007866302,2004-07-23,500,57287.25,0.005322188,268.6472,0.458807,7.147003,-0.3437667,7.1617146,7.8663015,FF-2004-000060-VNM,center
15.25,107.5,0.82602406,1.0860868,1.3645146,292.7898,101061.336,88824.195,0.007866302,2004-07-23,250,107508.34,0.00035557107,233.93936,-4.162779,-6.1543875,-0.4061787,7.430021,7.8663015,FF-2004-000060-VNM,center
15.25,107.75,0.5614724,1.1122191,1.2459064,294.2503,100989.06,90471.695,0.013075163,2004-07-23,1000,835.0557,0.014873462,299.12387,0.46623403,0.92785037,0.11899459,1.0384028,13.075163,FF-2004-000060-VNM,center
15.25,107.75,0.5614724,1.1122191,1.2459064,294.2503,100989.06,90471.695,0.013075163,2004-07-23,850,14495.554,0.013828589,290.56598,3.397965,1.7895479,0.06927574,3.840397,13.075163,FF-2004-000060-VNM,center
15.25,107.75,0.5614724,1.1122191,1.2459064,294.2503,100989.06,90471.695,0.013075163,2004-07-23,500,57291.926,0.005174152,268.5556,0.6206188,7.3411493,-0.004155159,7.3673363,13.075163,FF-2004-000060-VNM,center
15.25,107.75,0.5614724,1.1122191,1.2459064,294.2503,100989.06,90471.695,0.013075163,2004-07-23,250,107507.34,0.0003612141,234.09628,-6.0087833,-4.5953784,-0.36388183,7.564587,13.075163,FF-2004-000060-VNM,center
15.25,108.0,0.48334455,0.8816395,1.0054402,294.85727,100954.56,91064.73,0.029328344,2004-07-23,1000,802.86896,0.015078126,299.54828,0.40675795,0.7237482,0.19227463,0.8302189,29.328344,FF-2004-000060-VNM,center
15.25,108.0,0.48334455,0.8816395,1.0054402,294.85727,100954.56,91064.73,0.029328344,2004-07-23,850,14490.76,0.013593147,290.7393,2.9181895,1.2183833,0.13854015,3.1623232,29.328344,FF-2004-000060-VNM,center
