match_id,era5_event_id,cnn_bayesian_score,kg_bayesian_score,kg_rank,attribution_weight
FL-2021-000057-LKA,FL_2021_000057_LKA,0.34202042,1.1314393379937904,1.0,0.39902382333333336
FF-2009-000246-LKA,FF_2009_000246_LKA,0.04547071,2.0736927718711693e-05,527.0,0.04555618125939849
FF-2009-000160-LKA,FF_2009_000160_LKA,0.0273088,5.283424333874585e-06,829.0,0.027341544364508395
FL-2014-000070-LKA,FL_2014_000070_LKA,0.018036772,0.0029931648972505,4.0,0.02004085777777778
FL-2006-000155-LKA,FL_2006_000155_LKA,0.016444877,0.000336052910257,40.0,0.01681031871111111
FL-2019-000171-LKA,FL_2019_000171_LKA,0.015293047,0.0009568034738463,9.0,0.0163854075
FL-2008-000079-LKA,FL_2008_000079_LKA,0.015327227,0.0007415032784793,15.0,0.01609358835
FL-2010-000092-LKA,FL_2010_000092_LKA,0.011798206,0.0069260057809137,2.0,0.013483664
FL-2005-000196-LKA,FL_2005_000196_LKA,0.009953176,3.3717112881874125e-05,402.0,0.009977630977886977
FL-2018-000425-LKA,FL_2018_000425_LKA,0.008783363,0.0001296159467136,140.0,0.00884393791724138
LS-2015-000135-LKA,LS_2015_000135_LKA,0.0051035485,0.0052593985454651,3.0,0.0057414920625
LS-2022-000283-LKA,LS_2022_000283_LKA,0.0046312483,0.0009417117750744,11.0,0.00492070131875
FL-2000-000741-LKA,FL_2000_000741_LKA,0.004532612,0.0007262948450405,16.0,0.004748450666666667
FF-2008-000199-LKA,FF_2008_000199_LKA,0.0044740867,0.0003998430978417,32.0,0.004595007962162162
FL-1999-000161-LKA,FL_1999_000161_LKA,0.0037841494,0.0005505141474114,23.0,0.003919297592857143
FF-2007-000008-LKA,FF_2007_000008_LKA,0.003562808,0.0005305312194241,24.0,0.0036856634482758627
FL-2010-000196-LKA,FL_2010_000196_LKA,0.00321574,9.310917284478134e-05,189.0,0.003232315979381443
FL-2011-000176-LKA,FL_2011_000176_LKA,0.0029899632,0.000396012880889,33.0,0.0030686464421052634
FL-2003-000229-LKA,FL_2003_000229_LKA,0.002895128,1.8765015599572822e-05,562.0,0.0029002340458553788
FL-2008-000051-LKA,FL_2008_000051_LKA,0.0022809347,5.657605996015257e-05,290.0,0.002288666682033898
FL-2007-000228-LKA,FL_2007_000228_LKA,0.0021189896,0.0007142741293705,19.0,0.0022072808333333336
FL-2006-000191-LKA,FL_2006_000191_LKA,0.0020064283,6.030270715497245e-05,274.0,0.002013619799283154
FL-2007-000052-LKA,FL_2007_000052_LKA,0.0019158293,0.0005030733856243,25.0,0.001979690276666667
FL-2012-000205-LKA,FL_2012_000205_LKA,0.001761884,9.70871309754649e-06,705.0,0.0017643655267605635
FL-2018-000060-LKA,FL_2018_000060_LKA,0.0014944731,0.0019577388583968,5.0,0.0016439204100000002
FL-2014-000162-LKA,FL_2014_000162_LKA,0.0013770813,0.0004339251627249,28.0,0.0014188110363636364
FL-2021-000110-YEM,FL_2021_000110_YEM,0.0011941856,2.2124043080443703e-05,511.0,0.0011964999131782944
FL-2007-000181-HTI,FL_2007_000181_HTI,0.0006030267,6.366138694336035e-06,796.0,0.0006037795423220974
FL-2017-000057-LKA,FL_2017_000057_LKA,0.00053431676,0.001049102646059,8.0,0.0005754180492307692
FL-1999-000031-LKA,FL_1999_000031_LKA,0.000418572,0.00131806650901,6.0,0.00045662399999999993
FL-2008-000095-SUR,FL_2008_000095_SUR,0.00038029425,3.989763332178321e-06,876.0,0.00038072591203178207
FL-2013-000125-BFA,FL_2013_000125_BFA,0.00027066292,2.0482049013469824e-06,981.0,0.0002709374260040568
FF-2019-000054-YEM,FF_2019_000054_YEM,0.00026088866,4.984127637787978e-06,838.0,0.00026119813646500594
FL-2016-000050-LKA,FL_2016_000050_LKA,0.00025885232,7.194016405253233e-05,242.0,0.00025990030510121456
