era5_event_id,cnn_similarity_score,cnn_likelihood,cnn_prior,cnn_bayesian_score
FL_2021_000057_LKA,0.9137062,0.40556982,0.8433083,0.34202042
FF_2009_000246_LKA,0.7500483,0.056349777,0.80693686,0.04547071
FF_2009_000160_LKA,0.7156115,0.035218693,0.77540636,0.0273088
FL_2014_000070_LKA,0.6891082,0.02414761,0.7469382,0.018036772
FL_2006_000155_LKA,0.68071526,0.021362638,0.76979613,0.016444877
FL_2008_000079_LKA,0.67562366,0.019817483,0.7734195,0.015327227
FL_2019_000171_LKA,0.67132944,0.018593319,0.82250226,0.015293047
FL_2010_000092_LKA,0.652077,0.013899173,0.8488423,0.011798206
FL_2005_000196_LKA,0.63688695,0.010980536,0.906438,0.009953176
FL_2018_000425_LKA,0.63498485,0.010656968,0.82418966,0.008783363
LS_2015_000135_LKA,0.6069004,0.006779134,0.75283194,0.0051035485
LS_2022_000283_LKA,0.5924478,0.005327225,0.8693547,0.0046312483
FL_2000_000741_LKA,0.5981438,0.0058621396,0.773201,0.004532612
FF_2008_000199_LKA,0.59518176,0.005578227,0.8020625,0.0044740867
FL_1999_000161_LKA,0.58938205,0.0050578862,0.7481682,0.0037841494
FF_2007_000008_LKA,0.57166934,0.003727769,0.9557481,0.003562808
FL_2010_000196_LKA,0.57436246,0.0039071534,0.8230391,0.00321574
FL_2011_000176_LKA,0.5713586,0.003707557,0.806451,0.0029899632
FL_2003_000229_LKA,0.56587875,0.003366928,0.8598722,0.002895128
FL_2008_000051_LKA,0.55978185,0.0030212603,0.7549613,0.0022809347
FL_2007_000228_LKA,0.5548025,0.0027630192,0.7669109,0.0021189896
FL_2006_000191_LKA,0.54211015,0.0021921757,0.91526806,0.0020064283
FL_2007_000052_LKA,0.5478835,0.00243715,0.78609407,0.0019158293
FL_2012_000205_LKA,0.535623,0.0019435347,0.90653586,0.001761884
FL_2018_000060_LKA,0.53162193,0.0018031377,0.828818,0.0014944731
FL_2014_000162_LKA,0.52920926,0.0017229565,0.7992548,0.0013770813
FL_2021_000110_YEM,0.5075883,0.0011353147,1.0518543,0.0011941856
FL_2007_000181_HTI,0.47863767,0.0006310572,0.95558167,0.0006030267
FL_2017_000057_LKA,0.48042694,0.0006550486,0.8156903,0.00053431676
FL_1999_000031_LKA,0.46524423,0.0004751273,0.8809681,0.000418572
FL_2008_000095_SUR,0.45694458,0.0003968582,0.9582623,0.00038029425
FL_2013_000125_BFA,0.44634765,0.00031385754,0.8623751,0.00027066292
FF_2019_000054_YEM,0.43238214,0.00022839018,1.1422937,0.00026088866
FL_2016_000050_LKA,0.44973278,0.00033848968,0.76472735,0.00025885232
FL_2013_000087_MMR,0.4480266,0.0003258652,0.7624727,0.0002484633
FL_2014_000107_MMR,0.44648728,0.0003148407,0.78811467,0.0002481306
FL_2011_000135_THA,0.43413758,0.00023783394,0.9940827,0.00023642661
FL_2020_000172_MMR,0.4356801,0.00024642068,0.81048506,0.00019972028
FL_2019_000081_MMR,0.43122518,0.00022235204,0.8171662,0.00018169858
FL_2017_000091_MMR,0.43296447,0.00023148488,0.7773403,0.00017994252
FL_2021_000043_YEM,0.4198544,0.0001702108,0.99539846,0.00016942757
FL_2015_000080_MMR,0.42218658,0.00017990543,0.8473781,0.00015244792
FL_2008_000166_GTM,0.41390258,0.00014756431,1.0086226,0.0001488367
FL_2020_000237_LKA,0.41793197,0.00016257583,0.88817585,0.00014439592
FL_2011_000107_MMR,0.42052194,0.00017293649,0.7719877,0.00013350484
FL_2002_000788_LKA,0.41304693,0.00014454196,0.90447164,0.0001307341
FL_2011_000091_BEN,0.41054526,0.0001360224,0.83375144,0.00011340887
FL_2021_000095_MMR,0.41328967,0.00014539366,0.7756319,0.00011277196
FL_2001_000450_THA,0.40161344,0.00010916475,0.982369,0.00010724007
FL_2003_000196_ARG,0.40991712,0.00013395549,0.77798855,0.00010421583
FL_2022_000265_YEM,0.38957542,8.052217e-05,1.0750791,8.65677e-05
FL_2006_000062_THA,0.39300662,8.7901986e-05,0.9624907,8.460484e-05
FL_2018_000124_MMR,0.39346015,8.892166e-05,0.8447746,7.511876e-05
FL_2019_000156_DJI,0.3722427,5.108128e-05,1.3936139,7.1187584e-05
ST_1998_000296_PHL,0.38787347,7.7072735e-05,0.9036673,6.964811e-05
FL_1997_000207_SYC,0.38307995,6.806035e-05,0.89674884,6.103304e-05
FF_2012_000107_SLB,0.37663668,5.7441554e-05,1.0347154,5.943566e-05
FL_2009_000237_THA,0.37658197,5.7358156e-05,1.0297649,5.9065416e-05
FL_2016_000058_MMR,0.3818123,6.584142e-05,0.79186094,5.213725e-05
FL_2017_000137_SSD,0.3780143,5.9577498e-05,0.8092389,4.821243e-05
FL_2010_000139_SDN,0.36776295,4.5256376e-05,0.946711,4.284471e-05
FL_2020_000154_CIV,0.37035152,4.8544647e-05,0.8812828,4.278156e-05
TC_2018_000113_PHL,0.36623544,4.3411383e-05,0.94346464,4.0957104e-05
FL_2006_000115_HTI,0.36509764,4.208141e-05,0.9328028,3.9253657e-05
FL_2001_000314_GHA,0.3636508,4.0443196e-05,0.9691801,3.919674e-05
FL_2010_000118_GHA,0.3697731,4.779176e-05,0.80361235,3.8406048e-05
FL_2009_000087_VUT,0.36176944,3.8398895e-05,0.9281134,3.5638528e-05
FL_1997_000177_MMR,0.3633507,4.0110666e-05,0.8550848,3.429802e-05
FL_2014_000030_PRY,0.35913843,3.5695935e-05,0.95569146,3.4114302e-05
FL_2006_000125_THA,0.35861915,3.518316e-05,0.9164628,3.2244054e-05
FL_2012_000140_MMR,0.36150917,3.812354e-05,0.82945573,3.162179e-05
FL_2013_000103_YEM,0.34733725,2.5557218e-05,1.1663833,2.9809511e-05
FL_2005_000038_MDG,0.35450804,3.1351687e-05,0.94498605,2.9626906e-05
FL_2016_000080_BFA,0.3529891,3.003399e-05,0.92950785,2.791683e-05
FL_2021_000173_IDN,0.3477409,2.5855777e-05,1.0521748,2.7204798e-05
FL_2012_000200_BFA,0.35236216,2.9504794e-05,0.9016484,2.6602951e-05
FL_2017_000130_GTM,0.34959424,2.7267331e-05,0.9596784,2.6167869e-05
FL_2019_000104_THA,0.34934622,2.7074502e-05,0.9365815,2.5357478e-05
FL_2012_000175_GMB,0.34300286,2.2541217e-05,0.9831503,2.2161405e-05
FL_2013_000101_LAO,0.3386676,1.9848903e-05,1.028595,2.0416483e-05
FL_2007_000131_SEN,0.33374858,1.714724e-05,1.181218,2.0254629e-05
FL_1998_000040_URY,0.34168294,2.1688673e-05,0.86432457,1.8746054e-05
FL_2021_000147_THA,0.3384348,1.9712874e-05,0.9140862,1.8019266e-05
TC_2011_000157_SLV,0.3333626,1.6949967e-05,1.0373242,1.7582612e-05
FL_1999_000265_TCD,0.3352893,1.7955477e-05,0.95849025,1.721015e-05
FL_2010_000245_MAR,0.33532742,1.7975899e-05,0.9379498,1.6860491e-05
FL_2009_000226_PRY,0.33243936,1.6486347e-05,0.94584394,1.559351e-05
FL_2007_000194_GTM,0.33189547,1.6218595e-05,0.94169015,1.5272892e-05
FL_2019_000108_MRT,0.3278753,1.43577645e-05,1.0246813,1.4712134e-05
FL_2010_000162_HND,0.33191705,1.6229144e-05,0.86878747,1.4099676e-05
FL_2019_000094_GTM,0.32961208,1.51366985e-05,0.9264836,1.4023903e-05
FL_2007_000151_TCD,0.3325549,1.6543736e-05,0.84078753,1.39097665e-05
FL_2005_000160_MMR,0.33042312,1.5513302e-05,0.8461133,1.3126011e-05
FL_2009_000120_BWA,0.3246228,1.2995421e-05,0.9861709,1.2815705e-05
FL_2010_000115_MMR,0.3262064,1.3643462e-05,0.8942148,1.2200186e-05
FL_2016_000089_SEN,0.32222068,1.2065189e-05,0.9681978,1.168149e-05
FL_2009_000132_GHA,0.32051048,1.1439902e-05,1.0064578,1.1513778e-05
FL_2011_000118_GTM,0.323528,1.2563731e-05,0.8702339,1.0933384e-05
FL_2014_000159_MAR,0.3218493,1.1926843e-05,0.85551894,1.020364e-05
