latitude,longitude,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,mean_sea_level_pressure,surface_pressure,total_precipitation_24hr,time,level,geopotential,specific_humidity,temperature,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,precipitation_mm_24h,event_id,region_label
23.75,78.5,2.482997,1.7380229,3.0308409,299.14197,100138.9,94256.14,0.0074385107,2007-06-19,1000,116.40918,0.019027479,301.54684,2.0877573,1.5182732,0.0011178255,2.58145,7.438511,FF-2007-000083-IND,center
23.75,78.5,2.482997,1.7380229,3.0308409,299.14197,100138.9,94256.14,0.0074385107,2007-06-19,850,14000.923,0.015776418,294.9172,7.2685246,-4.463392,0.11897802,8.529555,7.438511,FF-2007-000083-IND,center
23.75,78.5,2.482997,1.7380229,3.0308409,299.14197,100138.9,94256.14,0.0074385107,2007-06-19,500,57189.74,0.0038625535,270.02817,0.28645134,-4.752409,0.016458511,4.761034,7.438511,FF-2007-000083-IND,center
23.75,78.5,2.482997,1.7380229,3.0308409,299.14197,100138.9,94256.14,0.0074385107,2007-06-19,250,107998.99,0.0001769455,237.96349,1.1579666,-2.4650564,0.18991399,2.7234886,7.438511,FF-2007-000083-IND,center
23.75,78.75,2.9540596,1.3786325,3.2599227,299.19238,100137.914,94332.85,0.008010225,2007-06-19,1000,117.69623,0.019019507,301.41318,2.6084745,1.2221904,0.06380272,2.8806057,8.010225,FF-2007-000083-IND,center
23.75,78.75,2.9540596,1.3786325,3.2599227,299.19238,100137.914,94332.85,0.008010225,2007-06-19,850,14000.923,0.016070688,295.07315,7.162372,-4.744821,0.3392565,8.591444,8.010225,FF-2007-000083-IND,center
23.75,78.75,2.9540596,1.3786325,3.2599227,299.19238,100137.914,94332.85,0.008010225,2007-06-19,500,57182.383,0.0043471246,270.07016,0.7680311,-5.120423,-0.19495869,5.1777024,8.010225,FF-2007-000083-IND,center
23.75,78.75,2.9540596,1.3786325,3.2599227,299.19238,100137.914,94332.85,0.008010225,2007-06-19,250,107991.51,0.00024858228,237.87254,0.24320984,-2.453825,0.079916716,2.4658484,8.010225,FF-2007-000083-IND,center
23.75,79.0,3.126276,0.8709332,3.245324,299.61713,100113.67,95007.375,0.0053267814,2007-06-19,1000,93.71033,0.019143471,301.35107,2.7873662,0.7440715,0.100648046,2.8849702,5.3267813,FF-2007-000083-IND,center
23.75,79.0,3.126276,0.8709332,3.245324,299.61713,100113.67,95007.375,0.0053267814,2007-06-19,850,14003.867,0.016390111,295.1767,6.951409,-5.154391,0.28364432,8.653892,5.3267813,FF-2007-000083-IND,center
