latitude,longitude,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_speed,2m_temperature,mean_sea_level_pressure,surface_pressure,total_precipitation_24hr,time,level,geopotential,specific_humidity,temperature,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,precipitation_mm_24h,event_id,region_label
-1.0,29.0,-1.9589598,-0.076147676,1.9604392,287.6074,101421.72,84043.16,0.0035621487,2008-10-06,1000,1189.3828,0.012769389,299.58267,-1.4453474,-0.00036934018,-0.007476449,1.4453474,3.5621486,FL-2008-000182-RWA,center
-1.0,29.0,-1.9589598,-0.076147676,1.9604392,287.6074,101421.72,84043.16,0.0035621487,2008-10-06,850,14720.642,0.01272933,290.4549,-1.6465466,-0.25991628,0.009261489,1.6669348,3.5621486,FL-2008-000182-RWA,center
-1.0,29.0,-1.9589598,-0.076147676,1.9604392,287.6074,101421.72,84043.16,0.0035621487,2008-10-06,500,57346.273,0.0035123066,266.38058,1.4420662,1.3113652,0.061487198,1.9491622,3.5621486,FL-2008-000182-RWA,center
-1.0,29.0,-1.9589598,-0.076147676,1.9604392,287.6074,101421.72,84043.16,0.0035621487,2008-10-06,250,107003.35,0.00024591843,230.98007,3.4089851,-1.7546928,0.04643607,3.8340745,3.5621486,FL-2008-000182-RWA,center
-1.0,29.25,-0.7907367,0.29106045,0.8426035,290.3458,101364.195,86516.2,0.00056372583,2008-10-06,1000,1132.331,0.013315605,299.45343,-0.39479268,0.18882796,-0.015029311,0.43762687,0.5637258,FL-2008-000182-RWA,center
-1.0,29.25,-0.7907367,0.29106045,0.8426035,290.3458,101364.195,86516.2,0.00056372583,2008-10-06,850,14706.628,0.01297885,290.381,-1.3787284,-1.6139245,-0.21038723,2.1226504,0.5637258,FL-2008-000182-RWA,center
-1.0,29.25,-0.7907367,0.29106045,0.8426035,290.3458,101364.195,86516.2,0.00056372583,2008-10-06,500,57337.01,0.0038006797,266.41095,1.2078524,1.0665152,-0.046228886,1.6113231,0.5637258,FL-2008-000182-RWA,center
-1.0,29.25,-0.7907367,0.29106045,0.8426035,290.3458,101364.195,86516.2,0.00056372583,2008-10-06,250,106994.64,0.00023020862,230.98405,2.690258,-2.5382988,0.030805588,3.6987092,0.5637258,FL-2008-000182-RWA,center
-1.0,29.5,-0.64525,0.8366268,1.0565472,288.62396,101345.76,86575.23,0.010318484,2008-10-06,1000,1105.5879,0.012466941,300.29596,-0.6642977,1.1118351,0.26670158,1.2951714,10.318484,FL-2008-000182-RWA,center
-1.0,29.5,-0.64525,0.8366268,1.0565472,288.62396,101345.76,86575.23,0.010318484,2008-10-06,850,14715.856,0.013089903,291.1507,-1.074122,-0.7222606,-0.08280349,1.2943718,10.318484,FL-2008-000182-RWA,center
-1.0,29.5,-0.64525,0.8366268,1.0565472,288.62396,101345.76,86575.23,0.010318484,2008-10-06,500,57341.742,0.0036091155,266.47934,2.0256615,0.5650153,-0.13806057,2.1029851,10.318484,FL-2008-000182-RWA,center
-1.0,29.5,-0.64525,0.8366268,1.0565472,288.62396,101345.76,86575.23,0.010318484,2008-10-06,250,107000.16,0.00020884328,231.0023,2.3376026,-3.520851,-0.0012366772,4.226201,10.318484,FL-2008-000182-RWA,center
-1.0,29.75,-1.080844,1.4248593,1.7884206,287.04117,101438.71,82809.55,0.016867742,2008-10-06,1000,1190.956,0.011552354,301.008,-1.1492351,1.4542286,0.29978997,1.8535162,16.867743,FL-2008-000182-RWA,center
-1.0,29.75,-1.080844,1.4248593,1.7884206,287.04117,101438.71,82809.55,0.016867742,2008-10-06,850,14750.379,0.011683137,291.94775,-0.9225545,1.26983,0.1771946,1.5695779,16.867743,FL-2008-000182-RWA,center
-1.0,29.75,-1.080844,1.4248593,1.7884206,287.04117,101438.71,82809.55,0.016867742,2008-10-06,500,57340.36,0.0036379623,266.53177,2.6700735,-0.22410953,-0.13235211,2.6794622,16.867743,FL-2008-000182-RWA,center
-1.0,29.75,-1.080844,1.4248593,1.7884206,287.04117,101438.71,82809.55,0.016867742,2008-10-06,250,107001.61,0.00019951358,231.06676,2.4736805,-3.941075,-0.033747673,4.6530814,16.867743,FL-2008-000182-RWA,center
-1.0,30.0,0.07179129,1.416466,1.4182842,287.3905,101451.0,82851.94,0.011363039,2008-10-06,1000,1216.5454,0.011328506,300.68863,-0.025725245,1.1095371,0.18218231,1.1098353,11.363039,FL-2008-000182-RWA,center
-1.0,30.0,0.07179129,1.416466,1.4182842,287.3905,101451.0,82851.94,0.011363039,2008-10-06,850,14749.923,0.011328998,291.54266,-0.1132133,1.1259371,0.24141276,1.1316147,11.363039,FL-2008-000182-RWA,center
-1.0,30.0,0.07179129,1.416466,1.4182842,287.3905,101451.0,82851.94,0.011363039,2008-10-06,500,57334.45,0.0040011127,266.44592,1.9286108,-0.78460944,-0.1050508,2.0821028,11.363039,FL-2008-000182-RWA,center
-1.0,30.0,0.07179129,1.416466,1.4182842,287.3905,101451.0,82851.94,0.011363039,2008-10-06,250,106994.64,0.00019280004,231.14204,2.860836,-3.5959637,-0.021556139,4.595143,11.363039,FL-2008-000182-RWA,center
-1.0,30.25,0.8563801,0.53027034,1.0072604,288.268,101409.3,84832.87,0.0068292897,2008-10-06,1000,1164.0032,0.012206872,300.19406,0.8952267,0.38415316,0.064215064,0.97416866,6.82929,FL-2008-000182-RWA,center
-1.0,30.25,0.8563801,0.53027034,1.0072604,288.268,101409.3,84832.87,0.0068292897,2008-10-06,850,14737.731,0.011709991,291.0661,0.788834,0.84876645,0.031141043,1.1587336,6.82929,FL-2008-000182-RWA,center
-1.0,30.25,0.8563801,0.53027034,1.0072604,288.268,101409.3,84832.87,0.0068292897,2008-10-06,500,57337.406,0.00403276,266.4216,1.8406191,-1.1813844,-0.033074617,2.1871324,6.82929,FL-2008-000182-RWA,center
-1.0,30.25,0.8563801,0.53027034,1.0072604,288.268,101409.3,84832.87,0.0068292897,2008-10-06,250,106997.836,0.00017727618,231.18596,3.2154083,-3.039725,0.037057877,4.4247913,6.82929,FL-2008-000182-RWA,center
-1.0,30.5,0.73687315,-0.25380653,0.7793586,288.87228,101377.79,85901.89,0.0071477275,2008-10-06,1000,1139.148,0.013019677,300.0872,0.63430464,-0.45995796,0.006190419,0.78352004,7.1477275,FL-2008-000182-RWA,center
-1.0,30.5,0.73687315,-0.25380653,0.7793586,288.87228,101377.79,85901.89,0.0071477275,2008-10-06,850,14720.072,0.0126177175,290.68127,0.6711117,0.46662474,-0.034213662,0.81739193,7.1477275,FL-2008-000182-RWA,center
-1.0,30.5,0.73687315,-0.25380653,0.7793586,288.87228,101377.79,85901.89,0.0071477275,2008-10-06,500,57335.633,0.0037671654,266.5515,1.784977,-1.6283094,0.107650995,2.4160988,7.1477275,FL-2008-000182-RWA,center
-1.0,30.5,0.73687315,-0.25380653,0.7793586,288.87228,101377.79,85901.89,0.0071477275,2008-10-06,250,106995.805,0.00015945036,231.20135,3.2364902,-2.7717564,0.07394552,4.261162,7.1477275,FL-2008-000182-RWA,center
-1.0,30.75,0.7931627,-0.16987318,0.8111498,288.56766,101363.805,85809.62,0.007825641,2008-10-06,1000,1136.4211,0.013072923,300.27856,0.4961189,-0.15433154,0.04791057,0.5195692,7.825641,FL-2008-000182-RWA,center
-1.0,30.75,0.7931627,-0.16987318,0.8111498,288.56766,101363.805,85809.62,0.007825641,2008-10-06,850,14714.831,0.012772128,290.68365,0.8609389,-0.041718066,0.07831013,0.8619491,7.825641,FL-2008-000182-RWA,center
-1.0,30.75,0.7931627,-0.16987318,0.8111498,288.56766,101363.805,85809.62,0.007825641,2008-10-06,500,57334.65,0.0035755078,266.65787,0.97105026,-1.5442344,0.078364134,1.8241706,7.825641,FL-2008-000182-RWA,center
-1.0,30.75,0.7931627,-0.16987318,0.8111498,288.56766,101363.805,85809.62,0.007825641,2008-10-06,250,106992.31,0.00014405473,231.17227,3.2115746,-2.8915303,0.09082627,4.3214765,7.825641,FL-2008-000182-RWA,center
-1.25,29.0,-1.4887263,0.6253947,1.6147522,286.58588,101441.06,82501.14,0.005033005,2008-10-06,1000,1205.5337,0.0121163195,300.14188,-1.2333481,0.46611312,0.03388405,1.3184874,5.033005,FL-2008-000182-RWA,center
-1.25,29.0,-1.4887263,0.6253947,1.6147522,286.58588,101441.06,82501.14,0.005033005,2008-10-06,850,14731.693,0.012097977,291.0208,-1.1432838,0.48785484,0.02233243,1.2430207,5.033005,FL-2008-000182-RWA,center
-1.25,29.0,-1.4887263,0.6253947,1.6147522,286.58588,101441.06,82501.14,0.005033005,2008-10-06,500,57350.41,0.0040250113,266.25293,1.676281,1.0178403,-0.01867938,1.9611009,5.033005,FL-2008-000182-RWA,center
-1.25,29.0,-1.4887263,0.6253947,1.6147522,286.58588,101441.06,82501.14,0.005033005,2008-10-06,250,106999.87,0.00024359081,230.9527,3.6351452,-1.7080014,0.113021374,4.01641,5.033005,FL-2008-000182-RWA,center
-1.25,29.25,-0.37592655,0.68624634,0.7824671,287.46335,101428.26,83418.04,0.0075746216,2008-10-06,1000,1182.8806,0.012031562,300.17044,-0.34844464,0.62850106,0.09502554,0.7186287,7.5746217,FL-2008-000182-RWA,center
-1.25,29.25,-0.37592655,0.68624634,0.7824671,287.46335,101428.26,83418.04,0.0075746216,2008-10-06,850,14724.516,0.012013219,291.0542,-0.53407073,0.12222546,0.05046332,0.54787827,7.5746217,FL-2008-000182-RWA,center
-1.25,29.25,-0.37592655,0.68624634,0.7824671,287.46335,101428.26,83418.04,0.0075746216,2008-10-06,500,57343.516,0.0043975906,266.42007,1.7914467,0.8673903,-0.25669694,1.9903886,7.5746217,FL-2008-000182-RWA,center
