Pangu_Event,Is_Top_Match_Itself,1st_Match_ERA5,1st_Sim_Score,2nd_Match_ERA5,2nd_Sim_Score,3rd_Match_ERA5,3rd_Sim_Score
FL_2019_000135_GHA,True,FL_2019_000135_GHA,0.7190531,FL_1999_000315_GHA,0.69772696,FL_2011_000106_GHA,0.650127
FL_2022_000321_CAF,True,FL_2022_000321_CAF,0.75857425,FL_2009_000087_VUT,0.59356105,FL_2020_000154_CIV,0.57177454
FL_2020_000164_IND,True,FL_2020_000164_IND,0.79895437,FF_2007_000083_IND,0.6095978,FL_2019_000084_IND,0.60698867
FL_2018_000054_BDI,False,FL_2021_000039_BDI,0.832378,FL_2018_000054_BDI,0.79548544,FL_2008_000187_BDI,0.7750394
FL_2020_000132_UGA,False,FL_2021_000153_UGA,0.7101857,FL_2013_000055_UGA,0.66895926,FL_2020_000132_UGA,0.66193664
FL_2019_000103_LAO,True,FL_2019_000103_LAO,0.8381336,FL_2022_000292_LAO,0.7873289,FL_2000_000583_LAO,0.7516188
FL_2020_000199_MRT,True,FL_2020_000199_MRT,0.7132542,FL_2002_000373_GHA,0.52900696,FL_2001_000390_POL,0.50848633
FL_2019_000089_SLE,False,FL_2005_000139_SLE,0.7520321,FL_2019_000089_SLE,0.6644505,FL_2007_000177_SLE,0.6341271
FL_2020_000200_BFA,False,FL_2009_000172_BFA,0.68525016,FL_2020_000200_BFA,0.6833224,FL_1991_000010_PHL,0.5917216
FF_2021_000090_SDN,False,FL_2010_000139_SDN,0.86746335,FL_2001_000417_SDN,0.8500607,FL_2017_000088_SDN,0.8484735
FF_2020_000204_TUN,True,FF_2020_000204_TUN,0.87750524,FF_2018_000158_TUN,0.6485496,FF_2007_000185_TUN,0.6038457
FL_2020_000213_LAO,True,FL_2020_000213_LAO,0.8430884,FL_2000_000583_LAO,0.5734834,FL_2002_000614_LAO,0.53502595
FL_2018_000092_MNG,True,FL_2018_000092_MNG,0.86650777,FL_2003_000350_MNG,0.7224716,FL_2010_000012_EGY,0.6048387
FL_2020_000198_SEN,False,FL_2019_000118_SEN,0.7436861,FL_2020_000198_SEN,0.67611676,FL_2000_000048_BWA,0.6330844
TC_2018_000167_SLV,True,TC_2018_000167_SLV,0.88926697,FL_2008_000191_SLV,0.6851499,FL_2008_000103_SLV,0.64899427
FL_2021_000145_BEN,False,FL_2012_000174_BEN,0.71845514,FL_1998_000040_URY,0.7118224,FL_2007_000141_NGA,0.70922256
FL_2021_000190_EGY,True,FL_2021_000190_EGY,0.8684574,FL_2016_000114_EGY,0.68464845,FL_2020_000038_EGY,0.5917953
FL_2018_000028_BWA,True,FL_2018_000028_BWA,0.72560084,FL_2003_000196_ARG,0.5858513,FL_2009_000120_BWA,0.56274116
FL_2021_000043_YEM,True,FL_2021_000043_YEM,0.8553704,FF_2016_000034_YEM,0.7912906,FL_2005_000070_YEM,0.7786729
FL_2022_000331_SLV,False,FL_2008_000191_SLV,0.74496245,FL_2022_000331_SLV,0.73442996,FL_2005_000171_SLV,0.6520846
