Target Event,Latent Top-5,Domain Top-5,Hybrid Top-5,Key Match ID,Key Match ΔR,Physical Interpretation,Overlap @ 5,RMR @ 5,Avg ΔR @ 5
FF_2020_000140_IDN,"FF_2009_000196_IDN, FL_2002_000732_IDN, FF_2018_000158_TUN, FL_2010_000014_SLB, FF_2011_000071_GEO","FL_2018_000154_GHA, FF_2004_000060_VNM, FL_2020_000126_ETH, FL_2015_000131_SLE, FL_2002_000054_IDN","FF_2009_000196_IDN, FL_2002_000732_IDN, FF_2018_000158_TUN, FL_2010_000014_SLB, FF_2011_000071_GEO",FF_2009_000196_IDN,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,40%,0.0
FL_2021_000084_TCD,"FF_2020_000156_UKR, FL_2007_000210_PHL, FL_2000_000191_HUN, FL_2008_000094_ZAF, FL_2006_000050_ARG","FL_1999_000265_TCD, FL_2010_000067_BRA, FL_2020_000199_MRT, FL_2020_000192_TCD, FL_2012_000054_HTI","FF_2020_000156_UKR, FL_2000_000191_HUN, FL_2007_000210_PHL, FL_2008_000094_ZAF, FL_2006_000050_ARG",FF_2020_000156_UKR,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,0%,0.0
FL_2021_000153_UGA,"FL_2019_000067_UGA, FL_2013_000055_UGA, FL_2007_000138_UGA, FL_2022_000275_UGA, FL_2006_000124_UGA","FL_2015_000065_GHA, FL_2009_000172_BFA, FL_2007_000132_BFA, FL_2013_000055_UGA, FL_2003_000389_BFA","FL_2019_000067_UGA, FL_2013_000055_UGA, FL_2007_000138_UGA, FL_2022_000275_UGA, FL_2006_000124_UGA",FL_2019_000067_UGA,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2022_000374_TTO,"FL_2000_000191_HUN, FL_2014_000150_SOM, FL_2009_000192_MEX, FL_2018_000194_TTO, FL_2008_000185_SOM","FL_2012_000056_PRY, FL_2018_000194_TTO, FL_2013_000030_COL, FL_2019_000104_THA, FL_2012_000089_CUB","FL_2000_000191_HUN, FL_2014_000150_SOM, FL_2009_000192_MEX, FL_2018_000194_TTO, FL_2008_000185_SOM",FL_2000_000191_HUN,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,20%,0.0
FL_2018_000034_BLR,"ST_2012_000064_COD, FL_2012_000063_RUS, FL_2013_000028_NAM, FL_2016_000061_RUS, FL_1998_000040_URY","FL_1999_000132_BLR, FL_2010_000160_NPL, FL_1999_000229_TJK, FL_2006_000045_HUN, FL_2006_000127_NPL","ST_2012_000064_COD, FL_2012_000063_RUS, FL_2013_000028_NAM, FL_2016_000061_RUS, FL_1998_000040_URY",ST_2012_000064_COD,0.0,Latent-driven match; continuous atmospheric physics dominated.,100%,0%,0.0
FL_2019_000094_GTM,"FL_2008_000166_GTM, FL_2017_000130_GTM, FL_2000_000299_GTM, FL_2009_000117_GTM, FL_2011_000045_GTM","FL_2021_000078_GTM, FL_2020_000019_MDG, FL_2019_000181_IDN, FL_2019_000034_BOL, FL_2013_000023_ZMB","FL_2008_000166_GTM, FL_2017_000130_GTM, FL_2000_000299_GTM, FL_2009_000117_GTM, FL_2011_000045_GTM",FL_2008_000166_GTM,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2019_000084_IND,"FL_2003_000316_IND, FL_2009_000122_IND, FL_2010_000125_IND, FL_1998_000392_IND, FL_2008_000089_IND","FL_2002_000374_IND, FL_2010_000046_MOZ, FL_2006_000070_IND, FL_2005_000104_IND, FL_2009_000217_IND","FL_2003_000316_IND, FL_2009_000122_IND, FL_2010_000125_IND, FL_1998_000392_IND, FL_2008_000089_IND",FL_2003_000316_IND,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FL_2020_000206_COD,"FL_2006_000047_COD, FL_1997_000295_COD, FL_2018_000034_BLR, FL_1999_000531_COD, FL_2012_000192_COD","FL_2006_000047_COD, FL_2007_000197_COD, FL_2022_000376_COD, FL_2022_000164_ECU, FL_1997_000295_COD","FL_2006_000047_COD, FL_1997_000295_COD, FL_2018_000034_BLR, FL_1999_000531_COD, FL_2012_000192_COD",FL_2006_000047_COD,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,80%,0.0
FF_2019_000018_AFG,"FL_2010_000021_AFG, FL_2012_000050_AFG, FF_2006_000163_AFG, FL_2020_000050_AFG, FL_1997_000097_AFG","FL_2005_000094_AFG, FL_2004_000059_AFG, FF_2020_000191_AFG, FF_2007_000091_AFG, FF_2006_000163_AFG","FL_2010_000021_AFG, FL_2012_000050_AFG, FF_2006_000163_AFG, FL_2020_000050_AFG, FL_1997_000097_AFG",FL_2010_000021_AFG,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,100%,0.0
FF_2018_000118_LAO,"FF_2016_000093_LAO, FL_2022_000292_LAO, FL_2019_000103_LAO, FL_2013_000101_LAO, FL_2008_000054_THA","FL_2019_000103_LAO, FF_2016_000093_LAO, FL_2008_000054_THA, FL_2000_000583_LAO, FL_2002_000614_LAO","FF_2016_000093_LAO, FL_2019_000103_LAO, FL_2022_000292_LAO, FL_2008_000054_THA, FL_2013_000101_LAO",FF_2016_000093_LAO,0.0,Perfect consensus: strong latent-domain regional alignment.,100%,80%,0.0
