event_id,intersection_count
FL_2018_000134_IND,5
FL_2020_000206_COD,5
FL_2020_000213_LAO,5
FL_2020_000011_MOZ,5
FL_2019_000145_TZA,5
FL_2020_000195_CMR,5
FL_2019_000009_ARG,5
FL_2019_000089_SLE,5
FF_2022_000309_SLE,5
FL_2019_000030_IRQ,5
FL_2022_000328_HND,5
FL_2021_000051_SOM,5
FF_2020_000153_BIH,5
FL_2020_000052_COD,5
FL_2019_000170_RWA,5
FL_2021_000050_AFG,5
FL_2020_000200_BFA,5
FL_2019_000084_IND,5
FF_2019_000018_AFG,4
FL_2020_000050_AFG,4
FF_2020_000006_IRN,4
FL_2018_000092_MNG,4
FL_2019_000022_IRN,4
FL_2022_000190_TUN,4
FL_2020_000193_SSD,4
FL_2022_000201_ZAF,4
FL_2019_000136_SLV,4
FF_2019_000029_IDN,4
FF_2022_000278_MNG,4
FL_2022_000321_CAF,4
FL_2022_000286_MRT,4
FF_2021_000032_TLS,4
FF_2020_000204_TUN,4
FL_2021_000173_IDN,4
FL_2021_000127_NER,4
FL_2019_000033_PRY,4
FL_2020_000019_MDG,4
FL_2019_000067_UGA,4
FL_2021_000023_DZA,4
FL_2021_000096_PAN,4
ST_2022_000138_MDG,4
FL_2018_000419_PRY,4
FL_2019_000020_COL,4
FF_2020_000055_SOM,4
FF_2020_000240_ZMB,4
FL_2020_000192_TCD,4
FL_2018_000077_CIV,4
FL_2021_000066_GUY,3
FL_2021_000209_MYS,3
FL_2019_000108_MRT,3
FL_2022_000287_TCD,3
FL_2020_000242_COL,3
FL_2020_000038_EGY,3
FF_2019_000068_VNM,3
FF_2021_000189_BIH,3
FL_2019_000118_SEN,3
FL_2019_000163_UGA,3
FL_2021_000068_SUR,3
FL_2021_000135_GIN,3
FL_2018_000105_BGD,3
FL_2022_000382_ZAF,3
FL_2022_000378_BIH,3
FL_2018_000414_IRQ,3
FL_2022_000331_SLV,3
FL_2018_000028_BWA,3
FL_2022_000290_SEN,3
FL_2020_000198_SEN,3
FL_2021_000153_UGA,3
FL_2020_000176_SDN,3
FL_2019_000153_COD,3
FF_2020_000140_IDN,3
FL_2020_000202_GIN,3
FL_2021_000208_IRQ,3
FL_2022_000135_ZMB,3
FF_2020_000158_SRB,2
FF_2021_000098_MNG,2
FL_2019_000052_SRB,2
FL_2022_000374_TTO,2
FL_2021_000084_TCD,2
FL_2018_000194_TTO,2
FL_2021_000097_BGD,2
FL_2021_000061_MYS,2
FL_2019_000031_SYR,2
FF_2022_000274_IRN,2
FF_2021_000198_COG,2
FL_2018_000043_TZA,2
FL_2020_000237_LKA,2
FF_2020_000168_MNG,2
FL_2022_000276_GMB,2
FL_2021_000007_SYR,2
FL_2021_000108_SSD,2
FL_2021_000001_MYS,2
FF_2020_000156_UKR,2
FL_2019_000156_DJI,1
FL_2018_000034_BLR,1
FL_2019_000051_LBY,1
FL_2019_000160_COG,1
FL_2021_000126_MYS,1
FL_2023_000001_COG,1
FL_2021_000190_EGY,1
FL_2019_000100_MLI,1
FL_2019_000181_IDN,1
FL_2020_000199_MRT,1
FL_2022_000312_BGR,1
FL_2019_000162_MYS,1
FL_2022_000249_CIV,1
FL_2022_000362_LCA,1
FL_2019_000011_IDN,1
FL_2020_000154_CIV,1
FL_2021_000213_STP,0
FL_2022_000379_MYS,0
