Pangu_Event,1st_Analog_ERA5,1st_Sim_Score,2nd_Analog_ERA5,2nd_Sim_Score,3rd_Analog_ERA5,3rd_Sim_Score
FL_2020_000050_AFG,FL_2011_000022_AFG,0.74590087,FL_2010_000127_AFG,0.70820916,FL_2005_000048_AFG,0.70526564
FF_2020_000191_AFG,FL_2009_000171_AFG,0.8673314,FF_2007_000091_AFG,0.816533,FF_2012_000118_AFG,0.7869048
FL_2021_000108_SSD,FL_2019_000009_ARG,0.6984502,FL_2009_000248_URY,0.66037625,FL_2001_000095_HUN,0.6027689
FL_2022_000286_MRT,FL_2021_000084_TCD,0.62825316,FL_2012_000056_PRY,0.6015256,FL_2020_000192_TCD,0.595481
FL_2021_000213_STP,FL_2005_000182_IND,0.48012936,FL_2007_000127_MRT,0.46242744,FL_2009_000044_BIH,0.44556636
FL_2022_000349_CMR,FL_2007_000149_CMR,0.67281324,FF_2017_000122_CMR,0.6694162,FL_2014_000121_CMR,0.6454368
FL_2020_000165_NPL,FL_2010_000160_NPL,0.8277565,FL_2006_000127_NPL,0.8137851,FL_1998_000221_NPL,0.795594
FL_2019_000047_GEO,FF_2012_000079_GEO,0.7983772,FL_2022_000261_GEO,0.76186204,FL_2020_000175_GEO,0.74803174
FL_2021_000049_RWA,FL_2019_000170_RWA,0.84479177,FL_2015_000042_RWA,0.8299852,FL_2018_000029_RWA,0.7974179
FL_2018_000112_GEO,FF_2013_000084_GEO,0.845847,FF_2012_000120_GEO,0.77933943,FL_2021_000152_GEO,0.7700567
FL_2019_000100_MLI,FL_2000_000255_ARG,0.74999315,FL_2015_000110_ARG,0.7262938,FL_2016_000137_ARG,0.66863656
FL_2021_000050_AFG,FL_2007_000054_AFG,0.85847795,FL_1997_000097_AFG,0.7865368,FL_2005_000094_AFG,0.75653136
FL_2022_000290_SEN,FL_2011_000091_BEN,0.6237768,FL_2011_000108_SEN,0.6151973,FL_2016_000089_SEN,0.6105977
FL_2019_000138_KEN,FF_2012_000062_KEN,0.8140157,FL_2013_000004_KEN,0.80120736,FL_2007_000221_KEN,0.7893178
FL_2022_000261_GEO,FL_2020_000175_GEO,0.78204554,FL_2019_000047_GEO,0.7409016,FF_2013_000084_GEO,0.7002493
FL_2019_000181_IDN,FL_2016_000114_EGY,0.5457554,FL_2009_000140_MNG,0.5371951,FL_2006_000018_IRQ,0.52778065
FL_2022_000356_ETH,FL_2007_000161_UGA,0.9005552,FF_2008_000141_ETH,0.87199175,FL_2010_000179_ETH,0.8673102
FL_2020_000185_PAK,FF_2013_000090_PAK,0.7250074,FL_2014_000122_PAK,0.71761286,FL_2003_000359_PAK,0.7103885
FL_2021_000126_MYS,FL_2001_000227_RUS,0.54162794,FL_2014_000014_SYC,0.5077438,FL_2007_000194_GTM,0.5064217
FL_2020_000193_SSD,FL_2000_000806_FJI,0.5992072,FL_2021_000145_BEN,0.5952397,FL_2019_000100_MLI,0.5684698
FL_2019_000116_ETH,FL_2011_000124_ETH,0.84477496,FL_2006_000112_ETH,0.8247621,FL_2007_000145_ETH,0.8164662
FL_2022_000201_ZAF,FL_2022_000382_ZAF,0.52320963,FL_2014_000038_ZAF,0.5179498,FL_2011_000021_MYS,0.47371706
FL_2021_000152_GEO,FF_2011_000071_GEO,0.78087115,FF_2013_000084_GEO,0.75968397,FL_2018_000112_GEO,0.7527571
FL_2019_000014_MWI,FL_2015_000006_MWI,0.8024483,FL_1997_000025_MWI,0.6934477,TC_2012_000008_MOZ,0.68078184
FL_2022_000135_ZMB,FL_2013_000023_ZMB,0.5197513,FL_2012_000075_VEN,0.40552676,FL_2013_000024_MKD,0.40304378
FL_2021_000001_MYS,FL_1998_000255_TUR,0.5357867,FL_2007_000222_MYS,0.50988805,FL_2000_000476_NPL,0.45480776
FL_2019_000048_TZA,FL_2014_000053_TZA,0.81816876,FL_2005_000062_TZA,0.8141521,FL_1998_000112_TZA,0.77376115
FL_2022_000190_TUN,FF_2009_000204_TUN,0.66400784,FL_2003_000585_MKD,0.51841724,FF_2020_000204_TUN,0.49677908
FL_2019_000064_SDN,FL_2017_000088_SDN,0.7988737,FL_2010_000139_SDN,0.7824509,FL_2011_000120_SDN,0.77403796
FL_2019_000062_SSD,FL_2012_000172_MLI,0.67176735,FL_2020_000193_SSD,0.62682235,FL_2010_000195_MLI,0.61557925
FL_2021_000095_MMR,FL_2011_000107_MMR,0.84949523,FL_2017_000091_MMR,0.79806083,FL_1997_000177_MMR,0.79019827
FL_2019_000145_TZA,FL_2014_000053_TZA,0.7933222,FL_1998_000112_TZA,0.76774776,FL_2006_000065_TZA,0.75775707
FL_2019_000136_SLV,FL_2005_000103_SLV,0.7373836,TC_2018_000167_SLV,0.6917822,FL_2008_000103_SLV,0.6783508
FL_2020_000011_MOZ,FL_2017_000012_MOZ,0.92163146,FL_1997_000026_MOZ,0.76738566,FL_2013_000008_MOZ,0.7318941
FL_2019_000160_COG,FL_2012_000153_IDN,0.60752547,FL_2011_000038_KAZ,0.57813907,FL_2009_000242_IRQ,0.53068566
FL_2019_000167_BDI,FL_2011_000037_BDI,0.8934556,FL_2006_000190_BDI,0.88038015,FL_2014_000019_BDI,0.8580549
FL_2022_000276_GMB,FL_1998_000329_BEN,0.60926175,FL_2007_000151_TCD,0.5753666,FL_2003_000196_ARG,0.5613358
FF_2020_000168_MNG,FF_2021_000098_MNG,0.67522144,FL_2002_000540_DZA,0.5908593,FF_2012_000115_RUS,0.5467713
FL_2022_000336_VNM,FL_1999_000574_VNM,0.753628,FL_2003_000505_VNM,0.7446843,FL_2005_000184_VNM,0.7440039
FL_2021_000208_IRQ,FL_2003_000585_MKD,0.5379877,FL_2018_000414_IRQ,0.5221648,FL_2013_000159_VCT,0.5195241
FL_2023_000001_COG,FF_2013_000100_RUS,0.5813296,FL_2022_000249_CIV,0.5648173,FL_2007_000130_CIV,0.55727017
FL_2021_000007_SYR,FL_2010_000031_PRT,0.60996854,FL_2010_000072_RUS,0.57311153,FL_2009_000140_MNG,0.53282
FF_2020_000156_UKR,FL_2021_000084_TCD,0.58509004,FL_2006_000050_ARG,0.5704521,FL_2007_000127_MRT,0.5221115
LS_2022_000283_LKA,LS_2015_000135_LKA,0.8309236,FL_1999_000161_LKA,0.81029344,FL_2014_000070_LKA,0.7734201
FL_2021_000019_PER,FL_2007_000009_PER,0.89428425,FL_2006_000031_PER,0.89260143,FL_2009_000261_PER,0.87121046
FL_2018_000154_GHA,FL_2001_000314_GHA,0.6741747,FL_2017_000095_GHA,0.6241992,FL_2022_000305_GIN,0.6215385
FL_2018_000004_COD,FL_2006_000047_COD,0.55130905,FL_1998_000213_KGZ,0.5224073,FL_2020_000052_COD,0.5162511
FL_2019_000079_BGD,FL_2002_000402_BGD,0.6099597,FL_2004_000044_BGD,0.5938521,FL_2000_000617_BGD,0.5895854
FL_2019_000009_ARG,FL_2009_000248_URY,0.7839047,FL_2015_000110_ARG,0.7540529,FL_2016_000137_ARG,0.66995347
FL_2020_000202_GIN,FL_2009_000178_GIN,0.79551387,FL_2011_000131_GIN,0.7725637,FL_2001_000549_GIN,0.73386514
FL_2019_000051_LBY,FL_2011_000109_PAK,0.56550646,FL_2013_000119_MRT,0.54932165,FL_2002_000540_DZA,0.5439129
FL_2021_000068_SUR,FL_2008_000239_NIC,0.4668308,FL_2006_000057_SUR,0.46151528,FF_2022_000209_AFG,0.45250282
FL_2018_000360_RUS,FF_2013_000100_RUS,0.7572273,FL_2017_000052_RUS,0.70255625,FL_2001_000227_RUS,0.69688
FL_2019_000163_UGA,FL_2021_000153_UGA,0.73785734,FL_2022_000275_UGA,0.7192937,FL_2013_000055_UGA,0.6916331
FL_2018_000065_TJK,FL_2003_000273_TJK,0.79875106,FL_2014_000054_TJK,0.79322517,FL_2009_000095_TJK,0.78757346
FL_2022_000328_HND,FL_1999_000324_HND,0.8168957,FL_2008_000191_HND,0.7694833,FL_2018_000164_HND,0.7105613
FL_2019_000033_PRY,FL_2009_000226_PRY,0.63355625,FL_2007_000125_PHL,0.61366415,FL_2001_000407_IDN,0.608637
FL_2018_000014_ARG,FL_2007_000022_ARG,0.7186278,FL_2006_000030_SRB,0.7140305,FL_2016_000137_ARG,0.59805226
FL_2020_000019_MDG,FL_2005_000038_MDG,0.57525706,FL_2012_000140_MMR,0.5645385,ST_2022_000138_MDG,0.54340327
FL_2021_000135_GIN,FL_2017_000083_GIN,0.6248009,FL_2010_000121_DOM,0.6040199,FL_2006_000145_GIN,0.5843985
FL_2022_000254_PAK,FF_2009_000159_PAK,0.8281696,FF_2012_000148_PAK,0.77170384,FL_2019_000087_PAK,0.75421345
FF_2022_000209_AFG,FL_2009_000080_AFG,0.69730127,FL_1997_000097_AFG,0.6894279,FL_2007_000054_AFG,0.6831975
FL_2020_000190_NER,FL_2019_000101_NER,0.7184816,FL_2001_000314_GHA,0.619462,FL_2013_000076_PRY,0.60082895
FF_2020_000123_YEM,FF_2006_000039_YEM,0.6895219,FF_2016_000034_YEM,0.620382,FL_1999_000548_YEM,0.6021179
FL_2019_000030_IRQ,FL_2012_000071_NPL,0.5324597,FL_2001_000571_PRK,0.52409124,FL_2009_000203_USA,0.5218208
FL_2022_000292_LAO,FF_2016_000093_LAO,0.70861566,FL_2019_000103_LAO,0.6975725,FL_2013_000101_LAO,0.678589
FL_2018_000120_NGA,FL_2017_000126_NGA,0.7279018,FL_2007_000123_NGA,0.72152686,FL_2003_000455_NGA,0.71979797
FL_2018_000134_IND,FF_2007_000083_IND,0.70228577,FL_2005_000104_IND,0.6413947,FL_1997_000337_IND,0.597171
FL_2019_000067_UGA,FL_2022_000275_UGA,0.7956206,FL_2021_000153_UGA,0.7703382,FL_2013_000055_UGA,0.714028
FL_2022_000362_LCA,FF_2022_000209_AFG,0.56187785,FL_2008_000032_KAZ,0.5295818,FF_2006_000163_AFG,0.49873596
FL_2022_000249_CIV,FL_2020_000154_CIV,0.5897348,FL_2012_000172_MLI,0.58265966,FL_2001_000180_IRN,0.5399733
FF_2018_000030_KEN,FF_2006_000046_KEN,0.8192011,FL_2007_000221_KEN,0.7927547,FL_2007_000076_KEN,0.7722653
FL_2020_000172_MMR,FL_2017_000091_MMR,0.87994725,FL_2013_000087_MMR,0.8322636,FL_2012_000140_MMR,0.83200556
FL_2020_000210_VNM,FF_2017_000101_VNM,0.79189366,FL_1999_000244_VNM,0.7674562,FL_2009_000124_VNM,0.7641763
FL_2018_000144_PRK,TC_2012_000159_PRK,0.66565216,FL_2002_000478_PRK,0.591446,FL_2007_000126_PRK,0.54812706
FL_2018_000194_TTO,FL_2022_000374_TTO,0.7330525,FL_2000_000255_ARG,0.5578685,FL_2015_000024_ARG,0.53921044
FL_2021_000123_CAF,FL_2017_000134_CAF,0.5665442,ST_2011_000073_CAF,0.5505237,FL_2019_000098_CAF,0.5343666
FL_2021_000057_LKA,FF_2009_000246_LKA,0.7500483,FF_2009_000160_LKA,0.71561134,FL_2014_000070_LKA,0.6891081
FL_2020_000126_ETH,FF_2012_000081_ETH,0.8657974,FL_2015_000161_ETH,0.84279525,FL_2013_000050_ETH,0.827245
FF_2021_000198_COG,FL_1998_000179_RUS,0.6029797,FL_2006_000172_COG,0.579894,FL_2019_000052_SRB,0.55762386
FL_2021_000023_DZA,FL_2002_000540_DZA,0.5469459,FF_2008_000178_DZA,0.5020549,FF_2006_000163_AFG,0.48925143
FL_2020_000029_TZA,FL_2020_000125_TZA,0.685628,FL_2014_000053_TZA,0.6482127,FF_2014_000009_TZA,0.6213621
FL_2021_000096_PAN,FL_2012_000198_PAN,0.8084868,FL_2009_000240_PAN,0.7902906,FL_2007_000086_PAN,0.7562024
FL_2021_000110_YEM,FL_2013_000103_YEM,0.7255013,FF_2019_000054_YEM,0.6586306,FL_2021_000043_YEM,0.6434464
FF_2020_000153_BIH,FL_2009_000044_BIH,0.66495097,FF_2010_000094_HUN,0.5806479,FL_2002_000479_CZE,0.57408583
FF_2018_000042_ETH,FL_2020_000126_ETH,0.84030014,FF_2012_000081_ETH,0.8354381,FL_2005_000064_ETH,0.8147116
FL_2022_000378_BIH,FL_2001_000620_DZA,0.518907,FL_2005_000048_AFG,0.5165035,FL_2010_000127_AFG,0.5151309
FL_2019_000170_RWA,FL_2007_000159_RWA,0.866843,FL_2021_000049_RWA,0.8204237,FL_2015_000042_RWA,0.8148362
FL_2019_000120_PHL,TC_2011_000189_PHL,0.67812717,FF_2008_000233_PHL,0.6567079,FL_2011_000067_PHL,0.6329803
ST_2022_000138_MDG,FL_2005_000038_MDG,0.6690046,FL_2003_000037_MDG,0.5822111,ST_2015_000041_PRY,0.540961
FL_2020_000196_NGA,FL_2007_000123_NGA,0.742296,FL_2017_000126_NGA,0.7390791,FL_2013_000116_NGA,0.73027396
FL_2019_000098_CAF,FL_2022_000321_CAF,0.61855924,ST_2011_000073_CAF,0.59038377,FL_2007_000174_CAF,0.5704181
FL_2021_000055_TJK,FF_2011_000066_TJK,0.8695067,FL_2019_000058_TJK,0.8465925,FF_2007_000049_TJK,0.8168326
FL_2022_000271_NGA,FL_2007_000123_NGA,0.87319994,FL_2019_000093_NGA,0.7343557,FL_2020_000196_NGA,0.7312355
FL_2021_000039_BDI,FL_2020_000054_BDI,0.8408928,FL_2018_000054_BDI,0.8150419,FL_2009_000075_BDI,0.79882574
FL_2019_000034_BOL,FL_2003_000012_BOL,0.8374189,FL_2011_000020_BOL,0.8364247,FL_2009_000045_BOL,0.83127296
FL_2022_000379_MYS,FL_2002_000402_BGD,0.49653172,FL_2018_000419_PRY,0.45778358,FF_2006_000049_IDN,0.4457121
FL_2020_000052_COD,FL_2002_000376_RUS,0.53864944,FL_2006_000047_COD,0.51327074,FL_2012_000037_PSE,0.49237812
FL_2021_000134_NPL,FL_2000_000476_NPL,0.8872724,FL_2003_000341_NPL,0.8591966,FL_2019_000083_NPL,0.83605057
FL_2021_000127_NER,FL_2012_000141_NER,0.5264047,FL_2009_000174_NER,0.50888354,FL_2017_000078_NER,0.5046419
FL_2019_000104_THA,FL_2002_000641_THA,0.75274765,FL_2005_000153_THA,0.73419535,FL_2010_000152_THA,0.70177007
