Pangu_Event,1st_Analog_ERA5,1st_Sim_Score,2nd_Analog_ERA5,2nd_Sim_Score,3rd_Analog_ERA5,3rd_Sim_Score
FL_2019_000101_NER,FL_2009_000174_NER,0.68388414,FL_2011_000122_NER,0.6379284,FL_2006_000133_NER,0.6298461
FL_2018_000077_CIV,FL_2007_000130_CIV,0.6464174,FL_2009_000187_CIV,0.63833475,FL_2019_000131_CIV,0.5996016
FL_2019_000032_BOL,FL_2014_000008_BOL,0.74022305,FL_2009_000045_BOL,0.72989666,FL_1997_000022_BOL,0.722231
FL_2020_000161_BGD,FL_2012_000106_BGD,0.66887355,FL_1998_000203_BGD,0.66868937,FL_2007_000129_PAK,0.64227986
FF_2020_000221_SOM,FL_2008_000185_SOM,0.55733013,FL_2014_000150_SOM,0.5485465,FF_2009_000229_SOM,0.51830006
FL_2022_000287_TCD,FL_2022_000249_CIV,0.66865575,FL_2009_000170_MRT,0.5525405,FL_2018_000140_MLI,0.549805
FL_2019_000058_TJK,FF_2011_000066_TJK,0.8469595,FF_2007_000049_TJK,0.824281,FL_2017_000079_TJK,0.82142484
FL_2021_000097_BGD,FF_2020_000156_UKR,0.68113494,FL_2021_000084_TCD,0.5720928,FL_2008_000094_ZAF,0.5713477
FL_2021_000147_THA,FL_2006_000062_THA,0.6421818,FL_2010_000152_THA,0.62360597,FF_2009_000107_THA,0.57231426
FF_2021_000189_BIH,FL_2005_000063_SRB,0.47268155,FL_2011_000061_DOM,0.47126713,FL_2002_000367_SRB,0.44536167
FL_2022_000213_IND,FL_2016_000060_IND,0.6272082,FL_2017_000064_IND,0.55098045,FL_1997_000337_IND,0.54048795
FF_2019_000068_VNM,FF_2017_000101_VNM,0.84132975,FL_1994_000007_VNM,0.829532,FL_1999_000244_VNM,0.82503057
FL_2022_000217_BGD,FL_2007_000129_PAK,0.71527857,FL_2012_000106_BGD,0.6406421,FL_1998_000203_BGD,0.6286539
FL_2018_000164_HND,FL_2012_000083_HND,0.69493103,FL_1999_000324_HND,0.6365278,FL_2022_000328_HND,0.6116683
FL_2022_000348_CRI,FL_2021_000092_CRI,0.7713081,FL_2004_000120_CRI,0.75533575,FL_2012_000126_PAN,0.7376102
FL_2020_000128_KEN,FL_2015_000169_KEN,0.84459955,FF_2012_000062_KEN,0.83369625,FL_2002_000265_KEN,0.80803645
FL_2021_000005_IDN,FL_2013_000006_IDN,0.6130012,FL_1999_000349_SLV,0.45675397,FF_2019_000029_IDN,0.44836003
FL_2018_000165_CRI,FL_2008_000191_CRI,0.8789596,FL_2005_000166_CRI,0.6639831,FL_1999_000350_CRI,0.6535846
FL_2018_000425_LKA,FF_2009_000160_LKA,0.7031912,FL_2020_000237_LKA,0.6885388,FL_2021_000057_LKA,0.6762995
FF_2020_000240_ZMB,FL_2009_000242_IRQ,0.51232314,FL_2013_000023_ZMB,0.45330566,FF_2012_000101_GAB,0.45051223
FF_2018_000158_TUN,FF_2020_000204_TUN,0.7004849,FF_2007_000185_TUN,0.6020715,FF_2009_000204_TUN,0.5745142
FL_2021_000209_MYS,FF_2006_000049_IDN,0.5693891,FL_2011_000021_MYS,0.5552273,FF_2019_000029_IDN,0.5144928
FL_2021_000129_VEN,FL_2011_000181_VEN,0.70349866,FL_2015_000085_VEN,0.69365966,FL_2010_000240_VEN,0.63724554
FL_2022_000002_IRN,FL_2001_000453_IRN,0.66429245,FL_2001_000375_IRN,0.58863664,FL_2002_000500_IRN,0.58617496
FL_2021_000091_PHL,FF_2008_000233_PHL,0.6981942,FL_2011_000067_PHL,0.59148675,FL_2000_000038_PHL,0.56017005
FL_2022_000365_PAN,FL_2004_000115_PAN,0.79766834,FL_2004_000100_PAN,0.7271674,FL_2010_000119_PAN,0.703907
FL_2022_000275_UGA,FL_2013_000055_UGA,0.7474793,FL_2021_000153_UGA,0.7301862,FL_2008_000175_UGA,0.7106823
FL_2019_000087_PAK,FF_2009_000159_PAK,0.7512424,FF_2012_000148_PAK,0.7363708,FL_2022_000254_PAK,0.7320025
FL_2022_000207_VEN,FL_2012_000075_VEN,0.72669107,FL_2015_000085_VEN,0.70855254,FL_1999_000547_VEN,0.67074436
FF_2021_000032_TLS,FL_2007_000107_TLS,0.62492025,FL_2012_000068_DOM,0.61915463,FL_2011_000180_PAN,0.6188777
FL_2019_000118_SEN,FL_2011_000108_SEN,0.6150675,FL_2020_000198_SEN,0.6134041,FL_2015_000105_GIN,0.5827481
FL_2018_000015_BOL,FL_1997_000022_BOL,0.8315475,FL_2001_000029_BOL,0.7927308,FL_2007_000012_BOL,0.7476639
FL_2019_000011_IDN,FL_2001_000407_IDN,0.6327437,FL_2012_000153_IDN,0.5917746,FL_1997_000522_MDA,0.5830408
FL_2022_000376_COD,FL_2015_000164_COD,0.5901017,FL_1999_000531_COD,0.48498753,FL_2022_000265_YEM,0.4655664
FL_2019_000031_SYR,FL_2000_000048_BWA,0.60230076,FL_2009_000190_TUR,0.525939,FL_2020_000198_SEN,0.52368736
FF_2022_000274_IRN,FL_2019_000022_IRN,0.68267715,FL_2001_000180_IRN,0.65831774,FL_1999_000235_IRN,0.6404507
FL_2018_000060_LKA,FL_2008_000051_LKA,0.8515952,FL_1999_000161_LKA,0.81228375,FL_2003_000229_LKA,0.8076389
FL_2022_000158_HTI,FL_2014_000155_HTI,0.73937154,FL_2012_000191_HTI,0.72655034,FL_2012_000054_HTI,0.718512
FL_2019_000108_MRT,FL_2022_000287_TCD,0.52357256,FL_2022_000265_YEM,0.52328944,FL_2007_000127_MRT,0.51986516
