subject,predicate,object
Marcel_Duchamp,type,owl#Thing
Marcel_Duchamp,type,Person
Marcel_Duchamp,type,Person
Marcel_Duchamp,type,Person
Marcel_Duchamp,type,DUL.owl#NaturalPerson
Marcel_Duchamp,type,Q19088
Marcel_Duchamp,type,Q215627
Marcel_Duchamp,type,Q483501
Marcel_Duchamp,type,Q5
Marcel_Duchamp,type,Q729
Marcel_Duchamp,type,Animal
Marcel_Duchamp,type,Animal
Marcel_Duchamp,type,Artist
Marcel_Duchamp,type,Artist
Marcel_Duchamp,type,Artist
Marcel_Duchamp,type,Eukaryote
Marcel_Duchamp,type,Eukaryote
Marcel_Duchamp,type,Species
Marcel_Duchamp,type,Species
Marcel_Duchamp,type,Person
Marcel_Duchamp,type,Artist
Marcel_Duchamp,type,PersonWithOccupation
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,36917441
Marcel_Duchamp,sameAs,m.0bqch
Marcel_Duchamp,sameAs,"Duchamp,%20Marcel"
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,11852772X
Marcel_Duchamp,sameAs,Q5912
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,מרסל_דושאן
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,マルセル・デュシャン
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,"Дюшан,_Марсель"
Marcel_Duchamp,sameAs,馬塞爾·杜尚
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Марсель_Дзюшан
Marcel_Duchamp,sameAs,Μαρσέλ_Ντυσάν
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,마르셀_뒤샹
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,44ce0797-3ff8-4741-a303-71edd081cc9a
Marcel_Duchamp,sameAs,p068624166
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,مارسيل_دوشامب
Marcel_Duchamp,sameAs,مارسيل_دوشامب
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marsel_Düşan
Marcel_Duchamp,sameAs,Марсель_Дюшан
Marcel_Duchamp,sameAs,Марсел_Дюшан
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Марсель_Дюшан
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,مارسل_دوشان
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Marcel_Duchamp
Marcel_Duchamp,sameAs,Մարսել_Դյուշան
