subject,predicate,object
Man_Ray,type,owl#Thing
Man_Ray,type,Person
Man_Ray,type,Person
Man_Ray,type,Person
Man_Ray,type,DUL.owl#NaturalPerson
Man_Ray,type,Q19088
Man_Ray,type,Q215627
Man_Ray,type,Q483501
Man_Ray,type,Q5
Man_Ray,type,Q729
Man_Ray,type,Animal
Man_Ray,type,Animal
Man_Ray,type,Artist
Man_Ray,type,Artist
Man_Ray,type,Artist
Man_Ray,type,Eukaryote
Man_Ray,type,Eukaryote
Man_Ray,type,Species
Man_Ray,type,Species
Man_Ray,type,Person
Man_Ray,type,Artist
Man_Ray,type,PersonWithOccupation
Man_Ray,sameAs,Mx4rvYDk9JwpEbGdrcN5Y29ycA
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,7396101
Man_Ray,sameAs,9865
Man_Ray,sameAs,m.0gskj
Man_Ray,sameAs,"Ray,%20Man"
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,118598694
Man_Ray,sameAs,Q46139
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,מאן_ריי
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,マン・レイ
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Ман_Рэй
Man_Ray,sameAs,曼·雷
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Ман_Рэй
Man_Ray,sameAs,Μαν_Ραίη
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,만_레이
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,p068676611
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,مان_راي
Man_Ray,sameAs,مان_راى
Man_Ray,sameAs,Ман_Рей
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,من_ری
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Ման_Ռեյ
Man_Ray,sameAs,მან_რეი
Man_Ray,sameAs,Ман_Рэй
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Mens_Rejs
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Мен_Реј
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Man_Ray
Man_Ray,sameAs,Мен_Реј
Man_Ray,sameAs,Ман_Рей
Man_Ray,sameAs,4H1St
Man_Ray,name,Man Ray
Man_Ray,label,Man Ray
Man_Ray,label,Man Ray
Man_Ray,label,Man Ray
Man_Ray,label,Μαν Ραίη
Man_Ray,label,مان راي
Man_Ray,label,Man Ray
Man_Ray,label,Man Ray
Man_Ray,label,Man Ray
Man_Ray,label,Man Ray
