era5_event_id,cnn_similarity_score,cnn_likelihood,cnn_prior,cnn_bayesian_score
FL_1998_000053_ZMB,0.3129429,9.008468e-06,1.0511796,9.469518e-06
FL_2016_000123_DOM,0.31184173,8.696456e-06,0.9477552,8.242111e-06
FL_1998_000224_SVK,0.3106197,8.361614e-06,0.96778595,8.092253e-06
FL_2014_000053_TZA,0.31472468,9.534722e-06,0.8469894,8.075808e-06
FL_2011_000020_BOL,0.31536633,9.730905e-06,0.8232307,8.010779e-06
FL_2008_000088_USA,0.30753,7.5661455e-06,1.0477861,7.927702e-06
FF_2007_000091_AFG,0.31506908,9.639574e-06,0.7703649,7.4259897e-06
FF_2014_000009_TZA,0.31170708,8.658979e-06,0.8479388,7.342284e-06
FL_2012_000039_CHL,0.2995571,5.818299e-06,1.2275882,7.142475e-06
FL_2009_000080_AFG,0.31573033,9.843807e-06,0.71726865,7.060654e-06
FL_2011_000190_AGO,0.29831314,5.581152e-06,1.2067723,6.73518e-06
FF_2020_000240_ZMB,0.2953048,5.0431877e-06,1.3277926,6.6963075e-06
FL_2006_000056_AFG,0.30931813,8.0177715e-06,0.77092963,6.1811375e-06
FL_2008_000201_YEM,0.2955975,5.0933963e-06,1.1001676,5.6035897e-06
FL_2010_000127_AFG,0.30492586,6.949324e-06,0.7964405,5.5347227e-06
FL_2013_000131_KHM,0.29589245,5.144448e-06,1.0643681,5.4755865e-06
FL_2020_000165_NPL,0.3126173,8.91518e-06,0.6002154,5.351028e-06
FL_2007_000217_SRB,0.29510063,5.0084273e-06,1.0599597,5.3087306e-06
FL_2015_000017_PAK,0.2994614,5.7997386e-06,0.8931371,5.1799616e-06
FF_2020_000191_AFG,0.30064312,6.032713e-06,0.8540908,5.152485e-06
FL_2004_000022_AFG,0.2973134,5.3969043e-06,0.9457722,5.104242e-06
FL_2011_000187_COD,0.2910164,4.3568702e-06,1.1714873,5.1040183e-06
FL_2011_000061_DOM,0.29964662,5.835711e-06,0.85372484,4.9820915e-06
FL_2018_000164_HND,0.2863058,3.7008479e-06,1.3438609,4.9734244e-06
FL_2009_000010_FJI,0.29794097,5.5119117e-06,0.88780296,4.8934917e-06
FL_2021_000208_IRQ,0.2966849,5.2838964e-06,0.9151072,4.8353318e-06
FL_2001_000095_HUN,0.29154888,4.437248e-06,0.93259764,4.1381672e-06
FL_2001_000079_ROM,0.29154888,4.437248e-06,0.93259764,4.1381672e-06
FL_2001_000096_UKR,0.29154888,4.437248e-06,0.93259764,4.1381672e-06
FL_2011_000096_PRK,0.29021758,4.2387437e-06,0.96908927,4.107721e-06
FL_2002_000020_IRN,0.28916174,4.0870345e-06,0.9974481,4.076605e-06
FL_2005_000175_SDN,0.28399888,3.4132352e-06,1.1732239,4.004489e-06
FL_2010_000089_AZE,0.28440505,3.4623667e-06,1.1526934,3.9910474e-06
FF_2008_000186_COD,0.29196528,4.501031e-06,0.88614297,3.988557e-06
FL_2013_000002_PSE,0.29158372,4.4425537e-06,0.87009674,3.8654516e-06
FF_2013_000100_RUS,0.28849635,3.993955e-06,0.942453,3.764115e-06
FL_2012_000068_DOM,0.28974235,4.169844e-06,0.8218999,3.4271943e-06
FL_2010_000015_PSE,0.28226638,3.2106393e-06,1.0620325,3.4098032e-06
FL_2016_000011_TZA,0.2889834,4.0618984e-06,0.8393205,3.4092345e-06
FL_2007_000011_ZMB,0.27284545,2.2864785e-06,1.355484,3.099285e-06
FL_2009_000034_MAR,0.27721977,2.6806617e-06,1.1234176,3.0115027e-06
FL_2010_000019_MEX,0.27876246,2.8336283e-06,1.0306172,2.9203861e-06
FL_2020_000206_COD,0.27517927,2.4897577e-06,1.1711531,2.9158873e-06
FF_2021_000198_COG,0.27526262,2.49731e-06,1.1649239,2.9091761e-06
FL_2006_000127_NPL,0.28977233,4.1741605e-06,0.6736525,2.8119339e-06
FL_2002_000540_DZA,0.28222764,3.206235e-06,0.77130187,2.472975e-06
FF_2020_000221_SOM,0.26937717,2.0119069e-06,1.1831666,2.3804212e-06
FL_2015_000071_GEO,0.27118996,2.1514736e-06,1.0940425,2.3538037e-06
FL_2010_000249_IND,0.2785353,2.8106226e-06,0.83583397,2.349214e-06
FL_2010_000141_PAK,0.28162315,3.1382215e-06,0.70364034,2.2081792e-06
FL_2010_000096_IDN,0.27077594,2.1188528e-06,0.98694265,2.0911862e-06
FL_2015_000027_CHL,0.26901177,1.9847816e-06,1.0118141,2.00823e-06
FL_2007_000155_ROM,0.26663518,1.8162452e-06,1.0933864,1.9858578e-06
FF_2012_000196_COG,0.26657864,1.812398e-06,1.0918584,1.978882e-06
FL_2010_000049_AGO,0.26768777,1.8892318e-06,1.0373266,1.9597503e-06
FL_2011_000022_AFG,0.27087688,2.1267647e-06,0.8752881,1.8615319e-06
FF_2013_000088_AFG,0.2721483,2.2287247e-06,0.8329503,1.8564169e-06
FL_2021_000123_CAF,0.26347536,1.61213e-06,1.1221387,1.8090335e-06
FL_2016_000068_NPL,0.27435338,2.416035e-06,0.7300774,1.7638924e-06
FL_2010_000242_AGO,0.2635543,1.616967e-06,1.0821137,1.7497422e-06
FL_2005_000157_MDA,0.26497212,1.7060895e-06,1.0039148,1.7127686e-06
FL_2021_000005_IDN,0.2617555,1.5099345e-06,1.1133604,1.6811013e-06
FL_2009_000165_CHL,0.26043317,1.4353669e-06,1.159997,1.6650213e-06
FL_2008_000170_DOM,0.26412034,1.6520321e-06,0.9912509,1.6375783e-06
FL_2006_000057_SUR,0.2599734,1.4102277e-06,1.1559802,1.6301954e-06
FL_2012_000030_KAZ,0.26979464,2.0433051e-06,0.7769372,1.5875197e-06
FL_2014_000004_COL,0.27281696,2.284092e-06,0.66677153,1.5229675e-06
FF_2020_000006_IRN,0.26169443,1.5064156e-06,1.0097523,1.5211066e-06
FL_2010_000021_AFG,0.2613019,1.4839721e-06,1.0005565,1.484798e-06
FF_2021_000098_MNG,0.2624307,1.5493387e-06,0.9363146,1.4506684e-06
FF_2011_000071_GEO,0.2543558,1.1334862e-06,1.2645458,1.4333452e-06
FF_2019_000018_AFG,0.26176178,1.5102972e-06,0.90900874,1.3728734e-06
FL_2009_000031_DOM,0.26140442,1.4898047e-06,0.9117834,1.3583792e-06
FL_1998_000112_TZA,0.263449,1.6105187e-06,0.8381443,1.349847e-06
FL_2011_000005_HND,0.2575927,1.2862804e-06,1.0354763,1.3319129e-06
FF_2018_000158_TUN,0.25892413,1.3543322e-06,0.9634547,1.3048377e-06
FL_2009_000267_SRB,0.25569564,1.1946295e-06,1.06322,1.270154e-06
FL_2005_000098_BGR,0.25666913,1.240899e-06,1.0094669,1.2526465e-06
FL_2007_000220_SRB,0.25373843,1.1062735e-06,1.0676279,1.1810885e-06
LS_2016_000051_IDN,0.25294787,1.0722849e-06,1.0794344,1.1574613e-06
FL_2016_000025_SRB,0.2528243,1.0670585e-06,1.0363306,1.1058254e-06
FL_2020_000125_TZA,0.2568968,1.2519496e-06,0.8550269,1.0704506e-06
FL_2005_000176_BGD,0.24927318,9.263083e-07,1.1164542,1.0341809e-06
FL_1999_000349_SLV,0.25336006,1.0898873e-06,0.9274605,1.0108274e-06
FL_2006_000190_BDI,0.24867192,9.0420616e-07,1.1094652,1.0031853e-06
FL_2005_000094_AFG,0.25819805,1.3168298e-06,0.75059617,9.884074e-07
FF_2020_000123_YEM,0.2502017,9.613966e-07,1.024308,9.847662e-07
FL_2015_000113_PRK,0.25104257,9.942001e-07,0.9577533,9.521985e-07
FL_2009_000100_DOM,0.25295234,1.0724744e-06,0.86396134,9.2657643e-07
FF_2012_000101_GAB,0.24425413,7.5582125e-07,1.2092581,9.1398294e-07
FL_2012_000132_NPL,0.25574937,1.1971424e-06,0.7413298,8.874773e-07
FL_2021_000134_NPL,0.2552513,1.1740307e-06,0.74516267,8.748438e-07
FL_2019_000083_NPL,0.25676617,1.2455984e-06,0.70087546,8.730093e-07
FL_2005_000109_PRK,0.24612033,8.1559574e-07,1.0243633,8.354663e-07
FL_2010_000151_COD,0.24625152,8.199536e-07,1.0135405,8.310562e-07
FL_1998_000179_RUS,0.2478941,8.763181e-07,0.9447682,8.2791746e-07
FL_2016_000124_COD,0.24171188,6.807381e-07,1.1470273,7.8082513e-07
FL_2000_000083_ZWE,0.24933685,9.2867714e-07,0.8246609,7.658437e-07
FL_2022_000190_TUN,0.24824947,8.8896223e-07,0.83416307,7.4153945e-07
FL_2006_000092_KOR,0.24639948,8.248934e-07,0.8946515,7.379921e-07
FF_2020_000140_IDN,0.23926628,6.1491477e-07,1.1843462,7.2827197e-07
FL_2007_000154_MEX,0.23914619,6.1183545e-07,1.166687,7.1382044e-07
FL_2018_000004_COD,0.23810942,5.8582225e-07,1.2094611,7.085292e-07
FL_1997_000137_CHL,0.23903191,6.08918e-07,1.1519914,7.014683e-07
FL_2015_000056_COL,0.25199452,1.0325497e-06,0.6777223,6.9978194e-07
FL_2003_000341_NPL,0.250458,9.712904e-07,0.7144844,6.9397186e-07
FF_2007_000082_PAK,0.24627434,8.207135e-07,0.8327031,6.834107e-07
FL_2002_000522_KHM,0.24179779,6.831613e-07,0.99701285,6.8112064e-07
FL_2019_000153_COD,0.23875412,6.0187847e-07,1.1260219,6.7772834e-07
FL_2013_000045_AFG,0.24466486,7.686277e-07,0.8104112,6.229045e-07
FL_2011_000082_NPL,0.24641064,8.252671e-07,0.7433089,6.1342837e-07
FL_1997_000166_ROM,0.2345566,5.0405345e-07,1.1558106,5.825903e-07
FL_2009_000268_AGO,0.23500086,5.1368227e-07,1.0902361,5.6003495e-07
FL_2005_000194_COL,0.24478988,7.7256436e-07,0.72460085,5.598008e-07
FL_2006_000130_KHM,0.23583356,5.3217684e-07,1.0445652,5.558934e-07
FL_2011_000007_ZAF,0.22846693,3.8746583e-07,1.3993707,5.4220834e-07
FL_2000_000476_NPL,0.24438903,7.60006e-07,0.701802,5.3337374e-07
FF_2014_000060_AFG,0.2408527,6.5692404e-07,0.80668736,5.299323e-07
FL_2006_000001_IDN,0.23919463,6.1307594e-07,0.8520187,5.223522e-07
FL_2002_000475_TJK,0.23538494,5.2213977e-07,0.8907037,4.6507182e-07
FF_2016_000093_LAO,0.23217633,4.5517615e-07,1.0171382,4.6297706e-07
FL_2022_000379_MYS,0.23333023,4.7831077e-07,0.96749246,4.6276207e-07
FL_2011_000042_COL,0.23758158,5.7296444e-07,0.7417695,4.2500753e-07
FL_2008_000104_NPL,0.23765922,5.748395e-07,0.73840815,4.2446615e-07
FL_2007_000023_IDN,0.22702901,3.6375886e-07,1.1489115,4.179267e-07
FL_2007_000025_FJI,0.22713315,3.6543096e-07,1.1388888,4.1618526e-07
FL_2010_000114_BGD,0.23276749,4.6689937e-07,0.8657757,4.0423012e-07
FF_2007_000185_TUN,0.22992258,4.1287274e-07,0.9661305,3.9888894e-07
FL_2003_000571_DOM,0.23242567,4.600881e-07,0.86020947,3.9577213e-07
FL_2021_000023_DZA,0.23538506,5.221424e-07,0.73430586,3.834122e-07
FL_2001_000274_WSM,0.223465,3.105239e-07,1.2174988,3.7806245e-07
FL_2006_000172_COG,0.22935966,4.0287497e-07,0.9309407,3.750527e-07
