match_id,era5_event_id,cnn_bayesian_score,kg_bayesian_score,kg_rank,attribution_weight
FL-2021-000039-BDI,FL_2021_000039_BDI,0.20284685,0.0069248345539745,8.0,0.21845045384615383
FL-2018-000054-BDI,FL_2018_000054_BDI,0.10687431,0.8145243871355387,1.0,0.12468669500000001
FL-2008-000187-BDI,FL_2008_000187_BDI,0.09033088,0.0213954635064054,3.0,0.10162224
FL-2020-000054-BDI,FL_2020_000054_BDI,0.07118536,0.0061814140724231,10.0,0.07593105066666667
FL-2009-000075-BDI,FL_2009_000075_BDI,0.053867836,0.0242599929358792,2.0,0.06156324114285714
FL-2015-000176-BDI,FL_2015_000176_BDI,0.04949296,0.0196724703520978,4.0,0.05499217777777778
FL-2006-000190-BDI,FL_2006_000190_BDI,0.03901976,0.0138790981102529,6.0,0.04256701090909091
FL-2011-000037-BDI,FL_2011_000037_BDI,0.031873725,0.0072661215269484,7.0,0.03452986875
LS-2010-000040-UGA,LS_2010_000040_UGA,0.03174343,0.0048555591294572,12.0,0.0336106905882353
FL-2019-000167-BDI,FL_2019_000167_BDI,0.030999305,0.0037298573338656,13.0,0.03272148861111111
FL-2014-000019-BDI,FL_2014_000019_BDI,0.02218142,0.0178156070783691,5.0,0.024399562000000003
FL-2020-000206-COD,FL_2020_000206_COD,3.6111316e-05,0.0003674563262856,75.0,3.6562707449999996e-05
FL-2003-000647-TLS,FL_2003_000647_TLS,3.4992172e-05,5.019581441088767e-05,406.0,3.5077311104622874e-05
FF-2013-000113-ROM,FF_2013_000113_ROM,2.0809859e-05,2.4277596888233132e-09,1217.0,2.0826888344517186e-05
FL-2009-000147-NIC,FL_2009_000147_NIC,1.581803e-05,4.103938620562118e-05,462.0,1.585190158458244e-05
FL-2012-000068-DOM,FL_2012_000068_DOM,1.5684505e-05,7.065820886998178e-07,1147.0,1.5698120021701387e-05
FL-2007-000209-PNG,FL_2007_000209_PNG,1.244497e-05,8.291493563743126e-05,293.0,1.2486731644295303e-05
FL-2010-000121-DOM,FL_2010_000121_DOM,1.1521303e-05,1.4575339308831136e-05,741.0,1.1536747105898124e-05
FL-2020-000242-COL,FL_2020_000242_COL,1.12104935e-05,9.345706981692146e-05,254.0,1.1253777258687258e-05
FL-2007-000144-LBR,FL_2007_000144_LBR,9.006346e-06,0.0001681099369064,156.0,9.06228603726708e-06
FL-2008-000099-NIC,FL_2008_000099_NIC,8.159904e-06,2.112090235368568e-05,637.0,8.172614130841122e-06
FL-2009-000100-DOM,FL_2009_000100_DOM,7.2835014e-06,6.285986596026705e-05,351.0,7.3039606735955055e-06
FF-2021-000189-BIH,FF_2021_000189_BIH,6.6960692e-06,1.7357903358911868e-06,1089.0,6.702189921389397e-06
FL-2010-000036-CYP,FL_2010_000036_CYP,6.5148142e-06,5.826146920245628e-05,373.0,6.532049158201057e-06
FL-2011-000107-MMR,FL_2011_000107_MMR,6.2576905e-06,9.95088236929276e-06,826.0,6.265220813477738e-06
FL-2009-000080-AFG,FL_2009_000080_AFG,5.4112543e-06,9.9697101431693e-05,241.0,5.4332512686991876e-06
FL-2015-000080-MMR,FL_2015_000080_MMR,4.307759e-06,1.1576105336819763e-07,1196.0,4.311345810158202e-06
FL-2016-000071-LBR,FL_2016_000071_LBR,3.977149e-06,6.243619153990336e-05,355.0,3.9881966361111115e-06
FL-2011-000170-COL,FL_2011_000170_COL,3.9012866e-06,0.0003172538282326,87.0,3.943691889130435e-06
FL-2007-000106-IDN,FL_2007_000106_IDN,3.5954474e-06,3.5230709724306514e-06,1003.0,3.5990143121031746e-06
LS-2016-000051-IDN,LS_2016_000051_IDN,3.1834638e-06,2.2513283861066505e-05,618.0,3.1885736937399684e-06
FL-1999-000233-SVK,FL_1999_000233_SVK,3.1472327e-06,2.3369917203485307e-07,1184.0,3.1498796576955427e-06
FL-2008-000010-BRA,FL_2008_000010_BRA,3.1124475e-06,1.272524483077989e-05,777.0,3.116427611892583e-06
FL-2005-000048-AFG,FL_2005_000048_AFG,3.0450926e-06,8.827289212778135e-06,843.0,3.0486835110849055e-06
FL-2003-000571-DOM,FL_2003_000571_DOM,2.9484295e-06,5.9953011790223085e-06,921.0,2.9516135491360692e-06
FL-2007-000035-AFG,FL_2007_000035_AFG,2.6819723e-06,4.729294294239206e-06,960.0,2.6847515459067356e-06
FF-2008-000178-DZA,FF_2008_000178_DZA,2.674011e-06,9.056478770601016e-07,1137.0,2.676352515761821e-06
FL-2009-000089-BRA,FL_2009_000089_BRA,2.563071e-06,0.0002700192816945,101.0,2.5872509150943397e-06
FL-2002-000478-PRK,FL_2002_000478_PRK,2.5039976e-06,0.0001262292749385,203.0,2.51603605e-06
FL-2010-000062-COD,FL_2010_000062_COD,2.484367e-06,7.302653329207253e-05,323.0,2.491941289634146e-06
FL-2000-000265-COL,FL_2000_000265_COL,2.4026235e-06,0.0002213300350393,124.0,2.4212484883720934e-06
FL-2020-000185-PAK,FL_2020_000185_PAK,2.1841724e-06,5.427858819920604e-05,391.0,2.189687986868687e-06
FL-2015-000018-PNG,FL_2015_000018_PNG,2.1447386e-06,0.0001171708714596,215.0,2.1544874118181818e-06
FL-2005-000020-COL,FL_2005_000020_COL,2.1278215e-06,0.0003668070193635,76.0,2.1540909012345677e-06
FL-2006-000030-SRB,FL_2006_000030_SRB,2.0907635e-06,0.000162709399582,164.0,2.103134881656805e-06
FF-2021-000032-TLS,FF_2021_000032_TLS,1.9584247e-06,0.000129494196722,199.0,1.968024821078431e-06
FL-2014-000163-COL,FL_2014_000163_COL,1.8672971e-06,0.0001002042442022,240.0,1.8749187208163265e-06
FL-2015-000017-PAK,FL_2015_000017_PAK,1.8466409e-06,5.143976500949119e-05,403.0,1.8511669806372549e-06
FL-2013-000017-PNG,FL_2013_000017_PNG,1.620237e-06,4.4269401693030034e-06,974.0,1.621891991828396e-06
FF-2008-000186-COD,FF_2008_000186_COD,1.6168347e-06,1.3427608070420834e-05,767.0,1.6189290454663212e-06
FL-2022-000376-COD,FL_2022_000376_COD,1.5541673e-06,0.0002939629258802,94.0,1.5698659595959597e-06
FL-2021-000095-MMR,FL_2021_000095_MMR,1.5543847e-06,6.636312922827016e-05,338.0,1.5589164338192422e-06
FL-2006-000025-PNG,FL_2006_000025_PNG,1.3293836e-06,7.384412968511e-05,319.0,1.333486635802469e-06
FL-2020-000050-AFG,FL_2020_000050_AFG,1.2944198e-06,5.485116154788414e-06,934.0,1.2957983088391909e-06
LS-2010-000190-COL,LS_2010_000190_COL,1.2019173e-06,0.000402306607987,65.0,1.2190875471428571e-06
FL-1999-000428-VNM,FL_1999_000428_VNM,1.1666338e-06,2.366900081949734e-05,608.0,1.1685369546492657e-06
FL-2016-000123-DOM,FL_2016_000123_DOM,1.1637673e-06,2.911239973253476e-05,555.0,1.1658454558928572e-06
FL-2006-000056-AFG,FL_2006_000056_AFG,1.1429048e-06,5.229702200575992e-05,401.0,1.145719836453202e-06
FL-2009-000031-DOM,FL_2009_000031_DOM,1.1417253e-06,2.334930329409176e-05,610.0,1.1435817639024392e-06
FL-1997-000166-ROM,FL_1997_000166_ROM,1.0320165e-06,3.819653009205265e-06,993.0,1.0330505846693388e-06
FL-2016-000026-PNG,FL_2016_000026_PNG,1.0301055e-06,3.7744113973615856e-06,997.0,1.0311335494011974e-06
FL-1999-000363-NIC,FL_1999_000363_NIC,9.829873e-07,8.621137664451966e-05,279.0,9.86448522887324e-07
